"","Home","Away","Bet","Outcome","Line","Matchup"
"1","SAC Kings","POR Trail Blazers","Race to 5 Points - 3rd Quarter","POR Trail Blazers","-110","SAC Kings - POR Trail Blazers"
"2","SAC Kings","POR Trail Blazers","Race to 5 Points - 3rd Quarter","SAC Kings","-115","SAC Kings - POR Trail Blazers"
"3","SAC Kings","POR Trail Blazers","Race to 30 Points - 2nd Quarter","POR Trail Blazers","+195","SAC Kings - POR Trail Blazers"
"4","SAC Kings","POR Trail Blazers","Race to 30 Points - 2nd Quarter","Neither","+140","SAC Kings - POR Trail Blazers"
"5","SAC Kings","POR Trail Blazers","Race to 30 Points - 2nd Quarter","SAC Kings","+205","SAC Kings - POR Trail Blazers"
"6","SAC Kings","POR Trail Blazers","Race to 20 Points - 1st Quarter","POR Trail Blazers","-110","SAC Kings - POR Trail Blazers"
"7","SAC Kings","POR Trail Blazers","Race to 20 Points - 1st Quarter","Neither","+5500","SAC Kings - POR Trail Blazers"
"8","SAC Kings","POR Trail Blazers","Race to 20 Points - 1st Quarter","SAC Kings","-110","SAC Kings - POR Trail Blazers"
"9","SAC Kings","POR Trail Blazers","Race to 25 Points - 3rd Quarter","POR Trail Blazers","+110","SAC Kings - POR Trail Blazers"
"10","SAC Kings","POR Trail Blazers","Race to 25 Points - 3rd Quarter","Neither","+700","SAC Kings - POR Trail Blazers"
"11","SAC Kings","POR Trail Blazers","Race to 25 Points - 3rd Quarter","SAC Kings","+110","SAC Kings - POR Trail Blazers"
"12","SAC Kings","POR Trail Blazers","Race to 20 Points - 3rd Quarter","POR Trail Blazers","-110","SAC Kings - POR Trail Blazers"
"13","SAC Kings","POR Trail Blazers","Race to 20 Points - 3rd Quarter","Neither","+4500","SAC Kings - POR Trail Blazers"
"14","SAC Kings","POR Trail Blazers","Race to 20 Points - 3rd Quarter","SAC Kings","-110","SAC Kings - POR Trail Blazers"
"15","SAC Kings","POR Trail Blazers","Race to 5 Points - 4th Quarter","POR Trail Blazers","-110","SAC Kings - POR Trail Blazers"
"16","SAC Kings","POR Trail Blazers","Race to 5 Points - 4th Quarter","SAC Kings","-110","SAC Kings - POR Trail Blazers"
"17","SAC Kings","POR Trail Blazers","Race to 15 Points - 4th Quarter","POR Trail Blazers","-110","SAC Kings - POR Trail Blazers"
"18","SAC Kings","POR Trail Blazers","Race to 15 Points - 4th Quarter","Neither","+9000","SAC Kings - POR Trail Blazers"
"19","SAC Kings","POR Trail Blazers","Race to 15 Points - 4th Quarter","SAC Kings","-110","SAC Kings - POR Trail Blazers"
"20","SAC Kings","POR Trail Blazers","Race to 30 Points - 3rd Quarter","POR Trail Blazers","+215","SAC Kings - POR Trail Blazers"
"21","SAC Kings","POR Trail Blazers","Race to 30 Points - 3rd Quarter","Neither","+125","SAC Kings - POR Trail Blazers"
"22","SAC Kings","POR Trail Blazers","Race to 30 Points - 3rd Quarter","SAC Kings","+210","SAC Kings - POR Trail Blazers"
"23","SAC Kings","POR Trail Blazers","Race to 15 Points - 3rd Quarter","POR Trail Blazers","-115","SAC Kings - POR Trail Blazers"
"24","SAC Kings","POR Trail Blazers","Race to 15 Points - 3rd Quarter","Neither","+9000","SAC Kings - POR Trail Blazers"
"25","SAC Kings","POR Trail Blazers","Race to 15 Points - 3rd Quarter","SAC Kings","-110","SAC Kings - POR Trail Blazers"
