"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","WAS Wizards","GS Warriors","3+ Three Pointers Made in 1st 3 Mins - 1st Quarter","Yes","+230",NA,"WAS Wizards - GS Warriors"
"2","WAS Wizards","GS Warriors","3+ Three Pointers Made in 1st 3 Mins - 1st Quarter","No","-330",NA,"WAS Wizards - GS Warriors"
"3","WAS Wizards","GS Warriors","Race to 20 Points - 1st Quarter","GS Warriors","-120",NA,"WAS Wizards - GS Warriors"
"4","WAS Wizards","GS Warriors","Race to 20 Points - 1st Quarter","Neither","+8000",NA,"WAS Wizards - GS Warriors"
"5","WAS Wizards","GS Warriors","Race to 20 Points - 1st Quarter","WAS Wizards","-105",NA,"WAS Wizards - GS Warriors"
"6","WAS Wizards","GS Warriors","Winning Margin","To win by 1-2","+1300",NA,"WAS Wizards - GS Warriors"
"7","WAS Wizards","GS Warriors","Winning Margin","To win by 3-6","+450",NA,"WAS Wizards - GS Warriors"
"8","WAS Wizards","GS Warriors","Winning Margin","To win by 7-9","+850",NA,"WAS Wizards - GS Warriors"
"9","WAS Wizards","GS Warriors","Winning Margin","To win by 10-13","+850",NA,"WAS Wizards - GS Warriors"
"10","WAS Wizards","GS Warriors","Winning Margin","To win by 14-16","+1500",NA,"WAS Wizards - GS Warriors"
"11","WAS Wizards","GS Warriors","Winning Margin","To win by 17-20","+1600",NA,"WAS Wizards - GS Warriors"
"12","WAS Wizards","GS Warriors","Winning Margin","To win by 21+","+950",NA,"WAS Wizards - GS Warriors"
"13","WAS Wizards","GS Warriors","Winning Margin","To win by 1-2","+1800",NA,"WAS Wizards - GS Warriors"
"14","WAS Wizards","GS Warriors","Winning Margin","To win by 3-6","+475",NA,"WAS Wizards - GS Warriors"
"15","WAS Wizards","GS Warriors","Winning Margin","To win by 7-9","+1000",NA,"WAS Wizards - GS Warriors"
"16","WAS Wizards","GS Warriors","Winning Margin","To win by 10-13","+1000",NA,"WAS Wizards - GS Warriors"
"17","WAS Wizards","GS Warriors","Winning Margin","To win by 14-16","+1800",NA,"WAS Wizards - GS Warriors"
"18","WAS Wizards","GS Warriors","Winning Margin","To win by 17-20","+1900",NA,"WAS Wizards - GS Warriors"
"19","WAS Wizards","GS Warriors","Winning Margin","To win by 21+","+1400",NA,"WAS Wizards - GS Warriors"
"20","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 1-5","+390",NA,"WAS Wizards - GS Warriors"
"21","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 6-10","+500",NA,"WAS Wizards - GS Warriors"
"22","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 11-15","+750",NA,"WAS Wizards - GS Warriors"
"23","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 16-20","+1200",NA,"WAS Wizards - GS Warriors"
"24","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 21-25","+2000",NA,"WAS Wizards - GS Warriors"
"25","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 26+","+1700",NA,"WAS Wizards - GS Warriors"
"26","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 1-5","+475",NA,"WAS Wizards - GS Warriors"
"27","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 6-10","+550",NA,"WAS Wizards - GS Warriors"
"28","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 11-15","+900",NA,"WAS Wizards - GS Warriors"
"29","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 16-20","+1600",NA,"WAS Wizards - GS Warriors"
"30","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 21-25","+2500",NA,"WAS Wizards - GS Warriors"
"31","WAS Wizards","GS Warriors","Winning Margin (12 Way)","To win by 26+","+2500",NA,"WAS Wizards - GS Warriors"
"32","WAS Wizards","GS Warriors","Race to 15 Points - 1st Quarter","GS Warriors","-120",NA,"WAS Wizards - GS Warriors"
"33","WAS Wizards","GS Warriors","Race to 15 Points - 1st Quarter","WAS Wizards","-105",NA,"WAS Wizards - GS Warriors"
"34","WAS Wizards","GS Warriors","Three Pointer Made in 1st 3 Minutes - 1st Quarter","Yes","-650",NA,"WAS Wizards - GS Warriors"
"35","WAS Wizards","GS Warriors","Three Pointer Made in 1st 3 Minutes - 1st Quarter","No","+400",NA,"WAS Wizards - GS Warriors"
"36","WAS Wizards","GS Warriors","Race to 30 Points - 1st Quarter","GS Warriors","+125",NA,"WAS Wizards - GS Warriors"
"37","WAS Wizards","GS Warriors","Race to 30 Points - 1st Quarter","Neither","+310",NA,"WAS Wizards - GS Warriors"
"38","WAS Wizards","GS Warriors","Race to 30 Points - 1st Quarter","WAS Wizards","+145",NA,"WAS Wizards - GS Warriors"
"39","WAS Wizards","GS Warriors","Race to 25 Points - 3rd Quarter","GS Warriors","-105",NA,"WAS Wizards - GS Warriors"
"40","WAS Wizards","GS Warriors","Race to 25 Points - 3rd Quarter","Neither","+1100",NA,"WAS Wizards - GS Warriors"
"41","WAS Wizards","GS Warriors","Race to 25 Points - 3rd Quarter","WAS Wizards","+110",NA,"WAS Wizards - GS Warriors"
"42","WAS Wizards","GS Warriors","WAS Wizards: Team Total Points","Over","-120","116.5","WAS Wizards - GS Warriors"
"43","WAS Wizards","GS Warriors","WAS Wizards: Team Total Points","Under","-110","116.5","WAS Wizards - GS Warriors"
"44","WAS Wizards","GS Warriors","Winning Margin (7 Way)","To Win By 1-5","+175",NA,"WAS Wizards - GS Warriors"
"45","WAS Wizards","GS Warriors","Winning Margin (7 Way)","To Win By 6-10","+230",NA,"WAS Wizards - GS Warriors"
"46","WAS Wizards","GS Warriors","Winning Margin (7 Way)","To Win By 11-15","+390",NA,"WAS Wizards - GS Warriors"
"47","WAS Wizards","GS Warriors","Winning Margin (7 Way)","To Win By 16-20","+700",NA,"WAS Wizards - GS Warriors"
"48","WAS Wizards","GS Warriors","Winning Margin (7 Way)","To Win By 21-25","+1200",NA,"WAS Wizards - GS Warriors"
"49","WAS Wizards","GS Warriors","Winning Margin (7 Way)","To Win By 26-30","+2000",NA,"WAS Wizards - GS Warriors"
"50","WAS Wizards","GS Warriors","Winning Margin (7 Way)","To Win By 31+","+2200",NA,"WAS Wizards - GS Warriors"
"51","WAS Wizards","GS Warriors","Race to 25 Points - 4th Quarter","GS Warriors","+100",NA,"WAS Wizards - GS Warriors"
"52","WAS Wizards","GS Warriors","Race to 25 Points - 4th Quarter","Neither","+950",NA,"WAS Wizards - GS Warriors"
"53","WAS Wizards","GS Warriors","Race to 25 Points - 4th Quarter","WAS Wizards","+115",NA,"WAS Wizards - GS Warriors"
"54","WAS Wizards","GS Warriors","Race to 10 Points - 1st Quarter","GS Warriors","-120",NA,"WAS Wizards - GS Warriors"
"55","WAS Wizards","GS Warriors","Race to 10 Points - 1st Quarter","WAS Wizards","-105",NA,"WAS Wizards - GS Warriors"
"56","WAS Wizards","GS Warriors","First Field Goal Type","2 Points","-340",NA,"WAS Wizards - GS Warriors"
"57","WAS Wizards","GS Warriors","First Field Goal Type","3 Points","+235",NA,"WAS Wizards - GS Warriors"
"58","WAS Wizards","GS Warriors","Race to 25 Points - 1st Quarter","GS Warriors","-110",NA,"WAS Wizards - GS Warriors"
"59","WAS Wizards","GS Warriors","Race to 25 Points - 1st Quarter","Neither","+2000",NA,"WAS Wizards - GS Warriors"
"60","WAS Wizards","GS Warriors","Race to 25 Points - 1st Quarter","WAS Wizards","+100",NA,"WAS Wizards - GS Warriors"
"61","WAS Wizards","GS Warriors","Race to 15 Points - 4th Quarter","GS Warriors","-120",NA,"WAS Wizards - GS Warriors"
