"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","CLE Cavaliers","BOS Celtics","25+ Points","Jayson Tatum","-250",NA,"CLE Cavaliers - BOS Celtics"
"2","CLE Cavaliers","BOS Celtics","25+ Points","Jaylen Brown","+100",NA,"CLE Cavaliers - BOS Celtics"
"3","CLE Cavaliers","BOS Celtics","25+ Points","Malcolm Brogdon","+700",NA,"CLE Cavaliers - BOS Celtics"
"4","CLE Cavaliers","BOS Celtics","25+ Points","Marcus Smart","+1200",NA,"CLE Cavaliers - BOS Celtics"
"5","CLE Cavaliers","BOS Celtics","Grant Williams Assists + Rebounds","Over","+100","4.5","CLE Cavaliers - BOS Celtics"
"6","CLE Cavaliers","BOS Celtics","Grant Williams Assists + Rebounds","Under","-135","4.5","CLE Cavaliers - BOS Celtics"
"7","CLE Cavaliers","BOS Celtics","Total Points Odd/Even - 1st Half","Even","-110",NA,"CLE Cavaliers - BOS Celtics"
"8","CLE Cavaliers","BOS Celtics","Total Points Odd/Even - 1st Half","Odd","-110",NA,"CLE Cavaliers - BOS Celtics"
"9","CLE Cavaliers","BOS Celtics","Donovan Mitchell Points","Over","-110","25.5","CLE Cavaliers - BOS Celtics"
"10","CLE Cavaliers","BOS Celtics","Donovan Mitchell Points","Under","-115","25.5","CLE Cavaliers - BOS Celtics"
"11","CLE Cavaliers","BOS Celtics","Jayson Tatum Points + Assists + Rebounds","Over","-125","38.5","CLE Cavaliers - BOS Celtics"
"12","CLE Cavaliers","BOS Celtics","Jayson Tatum Points + Assists + Rebounds","Under","-105","38.5","CLE Cavaliers - BOS Celtics"
"13","CLE Cavaliers","BOS Celtics","Grant Williams Turnovers","Over","-135","0.5","CLE Cavaliers - BOS Celtics"
"14","CLE Cavaliers","BOS Celtics","Grant Williams Turnovers","Under","+105","0.5","CLE Cavaliers - BOS Celtics"
"15","CLE Cavaliers","BOS Celtics","Race to 15 Points - 1st Quarter","BOS Celtics","-120",NA,"CLE Cavaliers - BOS Celtics"
"16","CLE Cavaliers","BOS Celtics","Race to 15 Points - 1st Quarter","Neither","+9000",NA,"CLE Cavaliers - BOS Celtics"
"17","CLE Cavaliers","BOS Celtics","Race to 15 Points - 1st Quarter","CLE Cavaliers","-105",NA,"CLE Cavaliers - BOS Celtics"
"18","CLE Cavaliers","BOS Celtics","Jarrett Allen Points + Assists + Rebounds","Over","-120","23.5","CLE Cavaliers - BOS Celtics"
"19","CLE Cavaliers","BOS Celtics","Jarrett Allen Points + Assists + Rebounds","Under","-110","23.5","CLE Cavaliers - BOS Celtics"
"20","CLE Cavaliers","BOS Celtics","Marcus Smart Points + Assists","Over","-125","16.5","CLE Cavaliers - BOS Celtics"
"21","CLE Cavaliers","BOS Celtics","Marcus Smart Points + Assists","Under","-105","16.5","CLE Cavaliers - BOS Celtics"
"22","CLE Cavaliers","BOS Celtics","Jayson Tatum Points + Rebounds","Over","-110","34.5","CLE Cavaliers - BOS Celtics"
"23","CLE Cavaliers","BOS Celtics","Jayson Tatum Points + Rebounds","Under","-120","34.5","CLE Cavaliers - BOS Celtics"
"24","CLE Cavaliers","BOS Celtics","Race to 5 Points - 3rd Quarter","BOS Celtics","-115",NA,"CLE Cavaliers - BOS Celtics"
"25","CLE Cavaliers","BOS Celtics","Race to 5 Points - 3rd Quarter","CLE Cavaliers","-110",NA,"CLE Cavaliers - BOS Celtics"
"26","CLE Cavaliers","BOS Celtics","Caris LeVert Points + Assists","Over","-120","17.5","CLE Cavaliers - BOS Celtics"
"27","CLE Cavaliers","BOS Celtics","Caris LeVert Points + Assists","Under","-110","17.5","CLE Cavaliers - BOS Celtics"
"28","CLE Cavaliers","BOS Celtics","Race to 15 Points - 4th Quarter","BOS Celtics","-115",NA,"CLE Cavaliers - BOS Celtics"
"29","CLE Cavaliers","BOS Celtics","Race to 15 Points - 4th Quarter","Neither","+9000",NA,"CLE Cavaliers - BOS Celtics"
"30","CLE Cavaliers","BOS Celtics","Race to 15 Points - 4th Quarter","CLE Cavaliers","-110",NA,"CLE Cavaliers - BOS Celtics"
"31","CLE Cavaliers","BOS Celtics","Darius Garland Points + Assists","Over","-120","25.5","CLE Cavaliers - BOS Celtics"
"32","CLE Cavaliers","BOS Celtics","Darius Garland Points + Assists","Under","-110","25.5","CLE Cavaliers - BOS Celtics"
"33","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 1","+1500",NA,"CLE Cavaliers - BOS Celtics"
"34","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 2","+1500",NA,"CLE Cavaliers - BOS Celtics"
"35","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 3","+1500",NA,"CLE Cavaliers - BOS Celtics"
"36","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 4","+1700",NA,"CLE Cavaliers - BOS Celtics"
"37","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 5","+1800",NA,"CLE Cavaliers - BOS Celtics"
"38","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 6","+1900",NA,"CLE Cavaliers - BOS Celtics"
"39","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 7","+2000",NA,"CLE Cavaliers - BOS Celtics"
"40","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 8","+2500",NA,"CLE Cavaliers - BOS Celtics"
"41","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 9","+2500",NA,"CLE Cavaliers - BOS Celtics"
"42","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 10","+2500",NA,"CLE Cavaliers - BOS Celtics"
"43","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 11","+3000",NA,"CLE Cavaliers - BOS Celtics"
"44","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 12","+3500",NA,"CLE Cavaliers - BOS Celtics"
"45","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 13","+4000",NA,"CLE Cavaliers - BOS Celtics"
"46","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 14+","+1600",NA,"CLE Cavaliers - BOS Celtics"
"47","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","Tie","+1500",NA,"CLE Cavaliers - BOS Celtics"
"48","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 1","+1500",NA,"CLE Cavaliers - BOS Celtics"
"49","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 2","+1600",NA,"CLE Cavaliers - BOS Celtics"
"50","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 3","+1700",NA,"CLE Cavaliers - BOS Celtics"
"51","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 4","+1700",NA,"CLE Cavaliers - BOS Celtics"
"52","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 5","+1800",NA,"CLE Cavaliers - BOS Celtics"
"53","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 6","+2000",NA,"CLE Cavaliers - BOS Celtics"
"54","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 7","+2200",NA,"CLE Cavaliers - BOS Celtics"
"55","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 8","+2200",NA,"CLE Cavaliers - BOS Celtics"
"56","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 9","+2500",NA,"CLE Cavaliers - BOS Celtics"
"57","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 10","+2800",NA,"CLE Cavaliers - BOS Celtics"
"58","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 11","+3500",NA,"CLE Cavaliers - BOS Celtics"
"59","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 12","+4000",NA,"CLE Cavaliers - BOS Celtics"
"60","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 13","+4500",NA,"CLE Cavaliers - BOS Celtics"
"61","CLE Cavaliers","BOS Celtics","Winning Margin - 3rd Quarter (Exact)","To Win By 14+","+1900",NA,"CLE Cavaliers - BOS Celtics"
"62","CLE Cavaliers","BOS Celtics","Jaylen Brown Points + Assists","Over","-115","26.5","CLE Cavaliers - BOS Celtics"
"63","CLE Cavaliers","BOS Celtics","Jaylen Brown Points + Assists","Under","-115","26.5","CLE Cavaliers - BOS Celtics"
"64","CLE Cavaliers","BOS Celtics","Caris LeVert Rebounds","Over","-110","3.5","CLE Cavaliers - BOS Celtics"
"65","CLE Cavaliers","BOS Celtics","Caris LeVert Rebounds","Under","-120","3.5","CLE Cavaliers - BOS Celtics"
"66","CLE Cavaliers","BOS Celtics","Jarrett Allen Turnovers","Over","+150","1.5","CLE Cavaliers - BOS Celtics"
"67","CLE Cavaliers","BOS Celtics","Jarrett Allen Turnovers","Under","-205","1.5","CLE Cavaliers - BOS Celtics"
"68","CLE Cavaliers","BOS Celtics","Race to 25 Points - 2nd Quarter","BOS Celtics","+100",NA,"CLE Cavaliers - BOS Celtics"
"69","CLE Cavaliers","BOS Celtics","Race to 25 Points - 2nd Quarter","Neither","+750",NA,"CLE Cavaliers - BOS Celtics"
"70","CLE Cavaliers","BOS Celtics","Race to 25 Points - 2nd Quarter","CLE Cavaliers","+120",NA,"CLE Cavaliers - BOS Celtics"
"71","CLE Cavaliers","BOS Celtics","Evan Mobley Points + Assists","Over","-125","15.5","CLE Cavaliers - BOS Celtics"
"72","CLE Cavaliers","BOS Celtics","Evan Mobley Points + Assists","Under","-105","15.5","CLE Cavaliers - BOS Celtics"
"73","CLE Cavaliers","BOS Celtics","Grant Williams Steals","Over","+175","0.5","CLE Cavaliers - BOS Celtics"
"74","CLE Cavaliers","BOS Celtics","Grant Williams Steals","Under","-245","0.5","CLE Cavaliers - BOS Celtics"
"75","CLE Cavaliers","BOS Celtics","Winning Margin - 1st Half / Winning Margin Final","BOS Celtics win by 16+ / BOS Celtics win by 21+","+2500",NA,"CLE Cavaliers - BOS Celtics"
