"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","LA Clippers","PHO Suns","Race to 15 Points - 4th Quarter","PHO Suns","-115",NA,"LA Clippers - PHO Suns"
"2","LA Clippers","PHO Suns","Race to 15 Points - 4th Quarter","Neither","+10000",NA,"LA Clippers - PHO Suns"
"3","LA Clippers","PHO Suns","Race to 15 Points - 4th Quarter","LA Clippers","-110",NA,"LA Clippers - PHO Suns"
"4","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 1","+1600",NA,"LA Clippers - PHO Suns"
"5","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 2","+1600",NA,"LA Clippers - PHO Suns"
"6","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 3","+1600",NA,"LA Clippers - PHO Suns"
"7","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 4","+1700",NA,"LA Clippers - PHO Suns"
"8","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 5","+1800",NA,"LA Clippers - PHO Suns"
"9","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 6","+1900",NA,"LA Clippers - PHO Suns"
"10","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 7","+2000",NA,"LA Clippers - PHO Suns"
"11","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 8","+2200",NA,"LA Clippers - PHO Suns"
"12","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 9","+2200",NA,"LA Clippers - PHO Suns"
"13","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 10","+2800",NA,"LA Clippers - PHO Suns"
"14","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 11","+3000",NA,"LA Clippers - PHO Suns"
"15","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 12","+4000",NA,"LA Clippers - PHO Suns"
"16","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 13","+4000",NA,"LA Clippers - PHO Suns"
"17","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 14+","+1800",NA,"LA Clippers - PHO Suns"
"18","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","Tie","+1500",NA,"LA Clippers - PHO Suns"
"19","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 1","+1500",NA,"LA Clippers - PHO Suns"
"20","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 2","+1500",NA,"LA Clippers - PHO Suns"
"21","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 3","+1600",NA,"LA Clippers - PHO Suns"
"22","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 4","+1600",NA,"LA Clippers - PHO Suns"
"23","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 5","+1800",NA,"LA Clippers - PHO Suns"
"24","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 6","+1900",NA,"LA Clippers - PHO Suns"
"25","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 7","+2200",NA,"LA Clippers - PHO Suns"
"26","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 8","+2200",NA,"LA Clippers - PHO Suns"
"27","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 9","+2500",NA,"LA Clippers - PHO Suns"
"28","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 10","+2800",NA,"LA Clippers - PHO Suns"
"29","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 11","+3000",NA,"LA Clippers - PHO Suns"
"30","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 12","+3500",NA,"LA Clippers - PHO Suns"
"31","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 13","+4000",NA,"LA Clippers - PHO Suns"
"32","LA Clippers","PHO Suns","Winning Margin - 3rd Quarter (Exact)","To Win By 14+","+1900",NA,"LA Clippers - PHO Suns"
"33","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 1","+1500",NA,"LA Clippers - PHO Suns"
"34","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 2","+1500",NA,"LA Clippers - PHO Suns"
"35","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 3","+1500",NA,"LA Clippers - PHO Suns"
"36","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 4","+1600",NA,"LA Clippers - PHO Suns"
"37","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 5","+1800",NA,"LA Clippers - PHO Suns"
"38","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 6","+2000",NA,"LA Clippers - PHO Suns"
"39","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 7","+2200",NA,"LA Clippers - PHO Suns"
"40","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 8","+2200",NA,"LA Clippers - PHO Suns"
"41","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 9","+2800",NA,"LA Clippers - PHO Suns"
"42","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 10","+3000",NA,"LA Clippers - PHO Suns"
"43","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 11","+3500",NA,"LA Clippers - PHO Suns"
"44","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 12","+4000",NA,"LA Clippers - PHO Suns"
"45","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 13","+4500",NA,"LA Clippers - PHO Suns"
"46","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 14+","+2200",NA,"LA Clippers - PHO Suns"
"47","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","Tie","+1500",NA,"LA Clippers - PHO Suns"
"48","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 1","+1500",NA,"LA Clippers - PHO Suns"
"49","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 2","+1500",NA,"LA Clippers - PHO Suns"
"50","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 3","+1500",NA,"LA Clippers - PHO Suns"
"51","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 4","+1700",NA,"LA Clippers - PHO Suns"
"52","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 5","+1700",NA,"LA Clippers - PHO Suns"
"53","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 6","+1900",NA,"LA Clippers - PHO Suns"
"54","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 7","+1900",NA,"LA Clippers - PHO Suns"
"55","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 8","+2200",NA,"LA Clippers - PHO Suns"
"56","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 9","+2200",NA,"LA Clippers - PHO Suns"
"57","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 10","+2800",NA,"LA Clippers - PHO Suns"
"58","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 11","+3500",NA,"LA Clippers - PHO Suns"
"59","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 12","+3500",NA,"LA Clippers - PHO Suns"
"60","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 13","+4000",NA,"LA Clippers - PHO Suns"
"61","LA Clippers","PHO Suns","Winning Margin - 2nd Quarter (Exact)","To Win By 14+","+1900",NA,"LA Clippers - PHO Suns"
"62","LA Clippers","PHO Suns","Race to 20 Points - 2nd Quarter","PHO Suns","-105",NA,"LA Clippers - PHO Suns"
"63","LA Clippers","PHO Suns","Race to 20 Points - 2nd Quarter","Neither","+4500",NA,"LA Clippers - PHO Suns"
"64","LA Clippers","PHO Suns","Race to 20 Points - 2nd Quarter","LA Clippers","-115",NA,"LA Clippers - PHO Suns"
"65","LA Clippers","PHO Suns","Race to 30 Points - 4th Quarter","PHO Suns","+195",NA,"LA Clippers - PHO Suns"
"66","LA Clippers","PHO Suns","Race to 30 Points - 4th Quarter","Neither","+130",NA,"LA Clippers - PHO Suns"
"67","LA Clippers","PHO Suns","Race to 30 Points - 4th Quarter","LA Clippers","+220",NA,"LA Clippers - PHO Suns"
"68","LA Clippers","PHO Suns","Race to 25 Points - 1st Quarter","PHO Suns","+130",NA,"LA Clippers - PHO Suns"
"69","LA Clippers","PHO Suns","Race to 25 Points - 1st Quarter","Neither","+550",NA,"LA Clippers - PHO Suns"
"70","LA Clippers","PHO Suns","Race to 25 Points - 1st Quarter","LA Clippers","+105",NA,"LA Clippers - PHO Suns"
"71","LA Clippers","PHO Suns","Race to 20 Points - 1st Quarter","PHO Suns","+105",NA,"LA Clippers - PHO Suns"
"72","LA Clippers","PHO Suns","Race to 20 Points - 1st Quarter","Neither","+4500",NA,"LA Clippers - PHO Suns"
"73","LA Clippers","PHO Suns","Race to 20 Points - 1st Quarter","LA Clippers","-125",NA,"LA Clippers - PHO Suns"
"74","LA Clippers","PHO Suns","Winning Margin (3 Way)","To Win By 6+","+215",NA,"LA Clippers - PHO Suns"
"75","LA Clippers","PHO Suns","Winning Margin (3 Way)","To Win By 5 Or Less","+160",NA,"LA Clippers - PHO Suns"
"76","LA Clippers","PHO Suns","Winning Margin (3 Way)","To Win By 6+","+155",NA,"LA Clippers - PHO Suns"
"77","LA Clippers","PHO Suns","Winning Margin - 1st Half (Exact)","To Win By 1","+1900",NA,"LA Clippers - PHO Suns"
"78","LA Clippers","PHO Suns","Winning Margin - 1st Half (Exact)","To Win By 2","+2000",NA,"LA Clippers - PHO Suns"
"79","LA Clippers","PHO Suns","Winning Margin - 1st Half (Exact)","To Win By 3","+1900",NA,"LA Clippers - PHO Suns"
"80","LA Clippers","PHO Suns","Winning Margin - 1st Half (Exact)","To Win By 4","+2200",NA,"LA Clippers - PHO Suns"
"81","LA Clippers","PHO Suns","Winning Margin - 1st Half (Exact)","To Win By 5","+2200",NA,"LA Clippers - PHO Suns"
"82","LA Clippers","PHO Suns","Winning Margin - 1st Half (Exact)","To Win By 6","+2500",NA,"LA Clippers - PHO Suns"
