"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","CLE Cavaliers","LA Clippers","Spread 1st Half","LA Clippers","+6","-115","CLE Cavaliers - LA Clippers"
"2","CLE Cavaliers","LA Clippers","Spread 1st Half","CLE Cavaliers","-6","-105","CLE Cavaliers - LA Clippers"
"3","CLE Cavaliers","LA Clippers","Total","Over","214","-110","CLE Cavaliers - LA Clippers"
"4","CLE Cavaliers","LA Clippers","Total","Under","214","-110","CLE Cavaliers - LA Clippers"
"5","CLE Cavaliers","LA Clippers","Spread","LA Clippers","+10","-110","CLE Cavaliers - LA Clippers"
"6","CLE Cavaliers","LA Clippers","Spread","CLE Cavaliers","-10","-110","CLE Cavaliers - LA Clippers"
"7","CLE Cavaliers","LA Clippers","Moneyline","LA Clippers",NA,"+410","CLE Cavaliers - LA Clippers"
"8","CLE Cavaliers","LA Clippers","Moneyline","CLE Cavaliers",NA,"-520","CLE Cavaliers - LA Clippers"
"9","CLE Cavaliers","LA Clippers","Total 1st Quarter","Over","51.5","-115","CLE Cavaliers - LA Clippers"
"10","CLE Cavaliers","LA Clippers","Total 1st Quarter","Under","51.5","-105","CLE Cavaliers - LA Clippers"
"11","CLE Cavaliers","LA Clippers","Moneyline 1st Half","LA Clippers",NA,"+230","CLE Cavaliers - LA Clippers"
"12","CLE Cavaliers","LA Clippers","Moneyline 1st Half","CLE Cavaliers",NA,"-275","CLE Cavaliers - LA Clippers"
"13","CLE Cavaliers","LA Clippers","Total 1st Half","Over","103.5","-115","CLE Cavaliers - LA Clippers"
"14","CLE Cavaliers","LA Clippers","Total 1st Half","Under","103.5","-105","CLE Cavaliers - LA Clippers"
"15","CLE Cavaliers","LA Clippers","Spread 1st Quarter","LA Clippers","+3","-105","CLE Cavaliers - LA Clippers"
"16","CLE Cavaliers","LA Clippers","Spread 1st Quarter","CLE Cavaliers","-3","-115","CLE Cavaliers - LA Clippers"
"17","CLE Cavaliers","LA Clippers","Moneyline 1st Quarter","LA Clippers",NA,"+185","CLE Cavaliers - LA Clippers"
"18","CLE Cavaliers","LA Clippers","Moneyline 1st Quarter","CLE Cavaliers",NA,"-215","CLE Cavaliers - LA Clippers"
"19","MEM Grizzlies","IND Pacers","Total 1st Half","Over","123.5","-110","MEM Grizzlies - IND Pacers"
"20","MEM Grizzlies","IND Pacers","Total 1st Half","Under","123.5","-110","MEM Grizzlies - IND Pacers"
"21","MEM Grizzlies","IND Pacers","Spread 1st Quarter","IND Pacers","+3","-110","MEM Grizzlies - IND Pacers"
"22","MEM Grizzlies","IND Pacers","Spread 1st Quarter","MEM Grizzlies","-3","-110","MEM Grizzlies - IND Pacers"
"23","MEM Grizzlies","IND Pacers","Spread","IND Pacers","+8.5","-110","MEM Grizzlies - IND Pacers"
"24","MEM Grizzlies","IND Pacers","Spread","MEM Grizzlies","-8.5","-110","MEM Grizzlies - IND Pacers"
"25","MEM Grizzlies","IND Pacers","Moneyline 1st Half","IND Pacers",NA,"+215","MEM Grizzlies - IND Pacers"
"26","MEM Grizzlies","IND Pacers","Moneyline 1st Half","MEM Grizzlies",NA,"-255","MEM Grizzlies - IND Pacers"
"27","MEM Grizzlies","IND Pacers","Total 1st Quarter","Over","61.5","-120","MEM Grizzlies - IND Pacers"
"28","MEM Grizzlies","IND Pacers","Total 1st Quarter","Under","61.5","+100","MEM Grizzlies - IND Pacers"
"29","MEM Grizzlies","IND Pacers","Moneyline","IND Pacers",NA,"+290","MEM Grizzlies - IND Pacers"
"30","MEM Grizzlies","IND Pacers","Moneyline","MEM Grizzlies",NA,"-350","MEM Grizzlies - IND Pacers"
"31","MEM Grizzlies","IND Pacers","Moneyline 1st Quarter","IND Pacers",NA,"+170","MEM Grizzlies - IND Pacers"
"32","MEM Grizzlies","IND Pacers","Moneyline 1st Quarter","MEM Grizzlies",NA,"-200","MEM Grizzlies - IND Pacers"
"33","MEM Grizzlies","IND Pacers","Total","Over","241.5","-110","MEM Grizzlies - IND Pacers"
"34","MEM Grizzlies","IND Pacers","Total","Under","241.5","-110","MEM Grizzlies - IND Pacers"
"35","MEM Grizzlies","IND Pacers","Spread 1st Half","IND Pacers","+5","-110","MEM Grizzlies - IND Pacers"
"36","MEM Grizzlies","IND Pacers","Spread 1st Half","MEM Grizzlies","-5","-110","MEM Grizzlies - IND Pacers"
"37","SA Spurs","WAS Wizards","Moneyline","WAS Wizards",NA,"-190","SA Spurs - WAS Wizards"
"38","SA Spurs","WAS Wizards","Moneyline","SA Spurs",NA,"+160","SA Spurs - WAS Wizards"
"39","SA Spurs","WAS Wizards","Spread","WAS Wizards","-4.5","-110","SA Spurs - WAS Wizards"
"40","SA Spurs","WAS Wizards","Spread","SA Spurs","+4.5","-110","SA Spurs - WAS Wizards"
"41","MIL Bucks","NO Pelicans","Moneyline","NO Pelicans",NA,"+470","MIL Bucks - NO Pelicans"
"42","MIL Bucks","NO Pelicans","Moneyline","MIL Bucks",NA,"-625","MIL Bucks - NO Pelicans"
"43","MIL Bucks","NO Pelicans","Total 1st Quarter","Over","56.5","-105","MIL Bucks - NO Pelicans"
"44","MIL Bucks","NO Pelicans","Total 1st Quarter","Under","56.5","-115","MIL Bucks - NO Pelicans"
"45","MIL Bucks","NO Pelicans","Spread 1st Quarter","NO Pelicans","+4","-110","MIL Bucks - NO Pelicans"
"46","MIL Bucks","NO Pelicans","Spread 1st Quarter","MIL Bucks","-4","-110","MIL Bucks - NO Pelicans"
"47","MIL Bucks","NO Pelicans","Moneyline 1st Half","NO Pelicans",NA,"+285","MIL Bucks - NO Pelicans"
"48","MIL Bucks","NO Pelicans","Moneyline 1st Half","MIL Bucks",NA,"-345","MIL Bucks - NO Pelicans"
"49","MIL Bucks","NO Pelicans","Total 1st Half","Over","112.5","-105","MIL Bucks - NO Pelicans"
"50","MIL Bucks","NO Pelicans","Total 1st Half","Under","112.5","-115","MIL Bucks - NO Pelicans"
"51","MIL Bucks","NO Pelicans","Moneyline 1st Quarter","NO Pelicans",NA,"+215","MIL Bucks - NO Pelicans"
"52","MIL Bucks","NO Pelicans","Moneyline 1st Quarter","MIL Bucks",NA,"-255","MIL Bucks - NO Pelicans"
"53","MIL Bucks","NO Pelicans","Spread","NO Pelicans","+11","-105","MIL Bucks - NO Pelicans"
"54","MIL Bucks","NO Pelicans","Spread","MIL Bucks","-11","-115","MIL Bucks - NO Pelicans"
"55","MIL Bucks","NO Pelicans","Total","Over","229.5","-110","MIL Bucks - NO Pelicans"
"56","MIL Bucks","NO Pelicans","Total","Under","229.5","-110","MIL Bucks - NO Pelicans"
"57","MIL Bucks","NO Pelicans","Spread 1st Half","NO Pelicans","+6.5","-105","MIL Bucks - NO Pelicans"
"58","MIL Bucks","NO Pelicans","Spread 1st Half","MIL Bucks","-6.5","-115","MIL Bucks - NO Pelicans"
"59","PHO Suns","TOR Raptors","Moneyline","TOR Raptors",NA,"+105","PHO Suns - TOR Raptors"
"60","PHO Suns","TOR Raptors","Moneyline","PHO Suns",NA,"-125","PHO Suns - TOR Raptors"
"61","PHO Suns","TOR Raptors","Spread","TOR Raptors","+1.5","-110","PHO Suns - TOR Raptors"
"62","PHO Suns","TOR Raptors","Spread","PHO Suns","-1.5","-110","PHO Suns - TOR Raptors"
"63","OKC Thunder","GS Warriors","Moneyline","GS Warriors",NA,"-145","OKC Thunder - GS Warriors"
"64","OKC Thunder","GS Warriors","Moneyline","OKC Thunder",NA,"+125","OKC Thunder - GS Warriors"
"65","OKC Thunder","GS Warriors","Spread","GS Warriors","-3","-110","OKC Thunder - GS Warriors"
"66","OKC Thunder","GS Warriors","Spread","OKC Thunder","+3","-110","OKC Thunder - GS Warriors"
"67","POR Trail Blazers","ATL Hawks","Moneyline","ATL Hawks",NA,"+105","POR Trail Blazers - ATL Hawks"
"68","POR Trail Blazers","ATL Hawks","Moneyline","POR Trail Blazers",NA,"-125","POR Trail Blazers - ATL Hawks"
"69","POR Trail Blazers","ATL Hawks","Spread","ATL Hawks","+1.5","-110","POR Trail Blazers - ATL Hawks"
"70","POR Trail Blazers","ATL Hawks","Spread","POR Trail Blazers","-1.5","-110","POR Trail Blazers - ATL Hawks"
"71","MIN Timberwolves","SAC Kings","Spread","SAC Kings","+1.5","-110","MIN Timberwolves - SAC Kings"
"72","MIN Timberwolves","SAC Kings","Spread","MIN Timberwolves","-1.5","-110","MIN Timberwolves - SAC Kings"
"73","MIN Timberwolves","SAC Kings","Moneyline","SAC Kings",NA,"+105","MIN Timberwolves - SAC Kings"
"74","MIN Timberwolves","SAC Kings","Moneyline","MIN Timberwolves",NA,"-125","MIN Timberwolves - SAC Kings"
