"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","LA Clippers","MIA Heat","Race to 15 Points - 4th Quarter","MIA Heat","+100",NA,"LA Clippers - MIA Heat"
"2","LA Clippers","MIA Heat","Race to 15 Points - 4th Quarter","Neither","+10000",NA,"LA Clippers - MIA Heat"
"3","LA Clippers","MIA Heat","Race to 15 Points - 4th Quarter","LA Clippers","-125",NA,"LA Clippers - MIA Heat"
"4","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 1-3","+450",NA,"LA Clippers - MIA Heat"
"5","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 4-6","+550",NA,"LA Clippers - MIA Heat"
"6","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 7-9","+800",NA,"LA Clippers - MIA Heat"
"7","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 10-12","+1300",NA,"LA Clippers - MIA Heat"
"8","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 13-15","+2000",NA,"LA Clippers - MIA Heat"
"9","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 16+","+2500",NA,"LA Clippers - MIA Heat"
"10","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","Tie","+1300",NA,"LA Clippers - MIA Heat"
"11","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 1-3","+450",NA,"LA Clippers - MIA Heat"
"12","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 4-6","+500",NA,"LA Clippers - MIA Heat"
"13","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 7-9","+700",NA,"LA Clippers - MIA Heat"
"14","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 10-12","+1100",NA,"LA Clippers - MIA Heat"
"15","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 13-15","+1600",NA,"LA Clippers - MIA Heat"
"16","LA Clippers","MIA Heat","Winning Margin - 4th Quarter","To Win By 16+","+2000",NA,"LA Clippers - MIA Heat"
"17","LA Clippers","MIA Heat","Race to 25 Points - 4th Quarter","MIA Heat","+120",NA,"LA Clippers - MIA Heat"
"18","LA Clippers","MIA Heat","Race to 25 Points - 4th Quarter","Neither","+750",NA,"LA Clippers - MIA Heat"
"19","LA Clippers","MIA Heat","Race to 25 Points - 4th Quarter","LA Clippers","-105",NA,"LA Clippers - MIA Heat"
"20","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 1-5","+550",NA,"LA Clippers - MIA Heat"
"21","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 6-10","+700",NA,"LA Clippers - MIA Heat"
"22","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 11-15","+1100",NA,"LA Clippers - MIA Heat"
"23","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 16-20","+2000",NA,"LA Clippers - MIA Heat"
"24","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 21-25","+3000",NA,"LA Clippers - MIA Heat"
"25","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 26+","+3000",NA,"LA Clippers - MIA Heat"
"26","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 1-5","+330",NA,"LA Clippers - MIA Heat"
"27","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 6-10","+425",NA,"LA Clippers - MIA Heat"
"28","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 11-15","+650",NA,"LA Clippers - MIA Heat"
"29","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 16-20","+1000",NA,"LA Clippers - MIA Heat"
"30","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 21-25","+1800",NA,"LA Clippers - MIA Heat"
"31","LA Clippers","MIA Heat","Winning Margin (12 Way)","To win by 26+","+1400",NA,"LA Clippers - MIA Heat"
"32","LA Clippers","MIA Heat","Kawhi Leonard Points","Over","-125","21.5","LA Clippers - MIA Heat"
"33","LA Clippers","MIA Heat","Kawhi Leonard Points","Under","-105","21.5","LA Clippers - MIA Heat"
"34","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 1","+1600",NA,"LA Clippers - MIA Heat"
"35","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 2","+1600",NA,"LA Clippers - MIA Heat"
"36","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 3","+1700",NA,"LA Clippers - MIA Heat"
"37","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 4","+1800",NA,"LA Clippers - MIA Heat"
"38","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 5","+2000",NA,"LA Clippers - MIA Heat"
"39","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 6","+2000",NA,"LA Clippers - MIA Heat"
"40","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 7","+2200",NA,"LA Clippers - MIA Heat"
"41","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 8","+2500",NA,"LA Clippers - MIA Heat"
"42","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 9","+2800",NA,"LA Clippers - MIA Heat"
"43","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 10","+2800",NA,"LA Clippers - MIA Heat"
"44","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 11","+3500",NA,"LA Clippers - MIA Heat"
"45","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 12","+4000",NA,"LA Clippers - MIA Heat"
"46","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 13","+4500",NA,"LA Clippers - MIA Heat"
"47","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 14+","+1900",NA,"LA Clippers - MIA Heat"
"48","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","Tie","+1600",NA,"LA Clippers - MIA Heat"
"49","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 1","+1500",NA,"LA Clippers - MIA Heat"
"50","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 2","+1500",NA,"LA Clippers - MIA Heat"
"51","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 3","+1700",NA,"LA Clippers - MIA Heat"
"52","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 4","+1700",NA,"LA Clippers - MIA Heat"
"53","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 5","+1800",NA,"LA Clippers - MIA Heat"
"54","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 6","+1900",NA,"LA Clippers - MIA Heat"
"55","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 7","+1900",NA,"LA Clippers - MIA Heat"
"56","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 8","+2200",NA,"LA Clippers - MIA Heat"
"57","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 9","+2500",NA,"LA Clippers - MIA Heat"
"58","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 10","+2500",NA,"LA Clippers - MIA Heat"
"59","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 11","+2800",NA,"LA Clippers - MIA Heat"
"60","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 12","+3000",NA,"LA Clippers - MIA Heat"
"61","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 13","+3500",NA,"LA Clippers - MIA Heat"
"62","LA Clippers","MIA Heat","Winning Margin - 2nd Quarter (Exact)","To Win By 14+","+1300",NA,"LA Clippers - MIA Heat"
"63","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 1","+1600",NA,"LA Clippers - MIA Heat"
"64","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 2","+1600",NA,"LA Clippers - MIA Heat"
"65","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 3","+1700",NA,"LA Clippers - MIA Heat"
"66","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 4","+1700",NA,"LA Clippers - MIA Heat"
"67","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 5","+1800",NA,"LA Clippers - MIA Heat"
"68","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 6","+1900",NA,"LA Clippers - MIA Heat"
"69","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 7","+2200",NA,"LA Clippers - MIA Heat"
"70","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 8","+2200",NA,"LA Clippers - MIA Heat"
"71","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 9","+2500",NA,"LA Clippers - MIA Heat"
"72","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 10","+2800",NA,"LA Clippers - MIA Heat"
"73","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 11","+3500",NA,"LA Clippers - MIA Heat"
"74","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 12","+4000",NA,"LA Clippers - MIA Heat"
"75","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 13","+4500",NA,"LA Clippers - MIA Heat"
"76","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 14+","+1900",NA,"LA Clippers - MIA Heat"
"77","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","Tie","+1500",NA,"LA Clippers - MIA Heat"
"78","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 1","+1600",NA,"LA Clippers - MIA Heat"
"79","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 2","+1500",NA,"LA Clippers - MIA Heat"
"80","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 3","+1600",NA,"LA Clippers - MIA Heat"
"81","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 4","+1600",NA,"LA Clippers - MIA Heat"
"82","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 5","+1700",NA,"LA Clippers - MIA Heat"
"83","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 6","+1900",NA,"LA Clippers - MIA Heat"
"84","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 7","+2000",NA,"LA Clippers - MIA Heat"
"85","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 8","+2200",NA,"LA Clippers - MIA Heat"
"86","LA Clippers","MIA Heat","Winning Margin - 4th Quarter (Exact)","To Win By 9","+2200",NA,"LA Clippers - MIA Heat"
