"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","NY Knicks","PHI 76ers","Joel Embiid Points + Rebounds","Over","42.5","-115","NY Knicks - PHI 76ers"
"2","NY Knicks","PHI 76ers","Joel Embiid Points + Rebounds","Under","42.5","-115","NY Knicks - PHI 76ers"
"3","NY Knicks","PHI 76ers","Joel Embiid Three Pointers Made","Over","1.5","+150","NY Knicks - PHI 76ers"
"4","NY Knicks","PHI 76ers","Joel Embiid Three Pointers Made","Under","1.5","-185","NY Knicks - PHI 76ers"
"5","NY Knicks","PHI 76ers","Race to 30 Points - 2nd Quarter","PHI 76ers",NA,"+160","NY Knicks - PHI 76ers"
"6","NY Knicks","PHI 76ers","Race to 30 Points - 2nd Quarter","Neither",NA,"+190","NY Knicks - PHI 76ers"
"7","NY Knicks","PHI 76ers","Race to 30 Points - 2nd Quarter","NY Knicks",NA,"+180","NY Knicks - PHI 76ers"
"8","NY Knicks","PHI 76ers","Julius Randle v Joel Embiid - Field Goals Made Moneyline","Joel Embiid",NA,"-350","NY Knicks - PHI 76ers"
"9","NY Knicks","PHI 76ers","Julius Randle v Joel Embiid - Field Goals Made Moneyline","Julius Randle",NA,"+245","NY Knicks - PHI 76ers"
"10","NY Knicks","PHI 76ers","Joel Embiid Assists","Over","3.5","-110","NY Knicks - PHI 76ers"
"11","NY Knicks","PHI 76ers","Joel Embiid Assists","Under","3.5","-120","NY Knicks - PHI 76ers"
"12","NY Knicks","PHI 76ers","Joel Embiid Double-Double","Yes",NA,"-145","NY Knicks - PHI 76ers"
"13","NY Knicks","PHI 76ers","Joel Embiid Double-Double","No",NA,"+115","NY Knicks - PHI 76ers"
"14","NY Knicks","PHI 76ers","Jalen Brunson v Joel Embiid - Field Goals Made Spread","Joel Embiid","-2.5","-105","NY Knicks - PHI 76ers"
"15","NY Knicks","PHI 76ers","Jalen Brunson v Joel Embiid - Field Goals Made Spread","Jalen Brunson","+2.5","-130","NY Knicks - PHI 76ers"
