"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","PHO Suns","LA Clippers","Race to 25 Points - 3rd Quarter","LA Clippers","+105",NA,"PHO Suns - LA Clippers"
"2","PHO Suns","LA Clippers","Race to 25 Points - 3rd Quarter","Neither","+900",NA,"PHO Suns - LA Clippers"
"3","PHO Suns","LA Clippers","Race to 25 Points - 3rd Quarter","PHO Suns","+105",NA,"PHO Suns - LA Clippers"
"4","PHO Suns","LA Clippers","Chris Paul Three Pointers Made","Over","-120","1.5","PHO Suns - LA Clippers"
"5","PHO Suns","LA Clippers","Chris Paul Three Pointers Made","Under","-110","1.5","PHO Suns - LA Clippers"
"6","PHO Suns","LA Clippers","Eric Gordon Turnovers","Over","+125","1.5","PHO Suns - LA Clippers"
"7","PHO Suns","LA Clippers","Eric Gordon Turnovers","Under","-155","1.5","PHO Suns - LA Clippers"
"8","PHO Suns","LA Clippers","Kawhi Leonard Three Pointers Made","Over","-140","1.5","PHO Suns - LA Clippers"
"9","PHO Suns","LA Clippers","Kawhi Leonard Three Pointers Made","Under","+110","1.5","PHO Suns - LA Clippers"
"10","PHO Suns","LA Clippers","Josh Okogie Steals + Blocks","Over","+110","1.5","PHO Suns - LA Clippers"
"11","PHO Suns","LA Clippers","Josh Okogie Steals + Blocks","Under","-140","1.5","PHO Suns - LA Clippers"
"12","PHO Suns","LA Clippers","Torrey Craig Blocks","Over","+105","0.5","PHO Suns - LA Clippers"
"13","PHO Suns","LA Clippers","Torrey Craig Blocks","Under","-135","0.5","PHO Suns - LA Clippers"
"14","PHO Suns","LA Clippers","Devin Booker v Kawhi Leonard - Points Spread","Kawhi Leonard","-120","+0.5","PHO Suns - LA Clippers"
"15","PHO Suns","LA Clippers","Devin Booker v Kawhi Leonard - Points Spread","Devin Booker","-110","-0.5","PHO Suns - LA Clippers"
"16","PHO Suns","LA Clippers","Terance Mann Assists","Over","+120","2.5","PHO Suns - LA Clippers"
"17","PHO Suns","LA Clippers","Terance Mann Assists","Under","-150","2.5","PHO Suns - LA Clippers"
"18","PHO Suns","LA Clippers","Chris Paul & Paul George - Assists Total","Over","-125","14.5","PHO Suns - LA Clippers"
"19","PHO Suns","LA Clippers","Chris Paul & Paul George - Assists Total","Under","-110","14.5","PHO Suns - LA Clippers"
"20","PHO Suns","LA Clippers","Devin Booker Blocks","Over","+225","0.5","PHO Suns - LA Clippers"
"21","PHO Suns","LA Clippers","Devin Booker Blocks","Under","-285","0.5","PHO Suns - LA Clippers"
"22","PHO Suns","LA Clippers","Chris Paul v Kawhi Leonard - Rebounds Spread","Kawhi Leonard","-130","-0.5","PHO Suns - LA Clippers"
"23","PHO Suns","LA Clippers","Chris Paul v Kawhi Leonard - Rebounds Spread","Chris Paul","-105","+0.5","PHO Suns - LA Clippers"
"24","PHO Suns","LA Clippers","Josh Okogie Double-Double","Yes","+2000",NA,"PHO Suns - LA Clippers"
"25","PHO Suns","LA Clippers","Josh Okogie Double-Double","No","-12500",NA,"PHO Suns - LA Clippers"
"26","PHO Suns","LA Clippers","Deandre Ayton Points","Over","-125","20.5","PHO Suns - LA Clippers"
"27","PHO Suns","LA Clippers","Deandre Ayton Points","Under","-105","20.5","PHO Suns - LA Clippers"
"28","PHO Suns","LA Clippers","Terance Mann Points","Over","-130","9.5","PHO Suns - LA Clippers"
"29","PHO Suns","LA Clippers","Terance Mann Points","Under","+100","9.5","PHO Suns - LA Clippers"
"30","PHO Suns","LA Clippers","Race to 25 Points - 4th Quarter","LA Clippers","+100",NA,"PHO Suns - LA Clippers"
"31","PHO Suns","LA Clippers","Race to 25 Points - 4th Quarter","Neither","+950",NA,"PHO Suns - LA Clippers"
