"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","IND Pacers","BOS Celtics","Spread","BOS Celtics","-8","-110","IND Pacers - BOS Celtics"
"2","IND Pacers","BOS Celtics","Spread","IND Pacers","+8","-110","IND Pacers - BOS Celtics"
"3","IND Pacers","BOS Celtics","Moneyline","BOS Celtics",NA,"-340","IND Pacers - BOS Celtics"
"4","IND Pacers","BOS Celtics","Moneyline","IND Pacers",NA,"+280","IND Pacers - BOS Celtics"
"5","SAC Kings","POR Trail Blazers","Spread","POR Trail Blazers","+5.5","-110","SAC Kings - POR Trail Blazers"
"6","SAC Kings","POR Trail Blazers","Spread","SAC Kings","-5.5","-110","SAC Kings - POR Trail Blazers"
"7","SAC Kings","POR Trail Blazers","Moneyline","POR Trail Blazers",NA,"+180","SAC Kings - POR Trail Blazers"
"8","SAC Kings","POR Trail Blazers","Moneyline","SAC Kings",NA,"-210","SAC Kings - POR Trail Blazers"
"9","ORL Magic","DET Pistons","Moneyline","DET Pistons",NA,"+235","ORL Magic - DET Pistons"
"10","ORL Magic","DET Pistons","Moneyline","ORL Magic",NA,"-280","ORL Magic - DET Pistons"
"11","ORL Magic","DET Pistons","Spread","DET Pistons","+7","-110","ORL Magic - DET Pistons"
"12","ORL Magic","DET Pistons","Spread","ORL Magic","-7","-110","ORL Magic - DET Pistons"
"13","DAL Mavericks","SA Spurs","Spread","SA Spurs","+13.5","-110","DAL Mavericks - SA Spurs"
"14","DAL Mavericks","SA Spurs","Spread","DAL Mavericks","-13.5","-110","DAL Mavericks - SA Spurs"
"15","DAL Mavericks","SA Spurs","Moneyline","SA Spurs",NA,"+700","DAL Mavericks - SA Spurs"
"16","DAL Mavericks","SA Spurs","Moneyline","DAL Mavericks",NA,"-1050","DAL Mavericks - SA Spurs"
"17","UTA Jazz","OKC Thunder","Moneyline","OKC Thunder",NA,"+125","UTA Jazz - OKC Thunder"
"18","UTA Jazz","OKC Thunder","Moneyline","UTA Jazz",NA,"-145","UTA Jazz - OKC Thunder"
"19","UTA Jazz","OKC Thunder","Spread","OKC Thunder","+3","-110","UTA Jazz - OKC Thunder"
"20","UTA Jazz","OKC Thunder","Spread","UTA Jazz","-3","-110","UTA Jazz - OKC Thunder"
"21","TOR Raptors","NO Pelicans","Moneyline","NO Pelicans",NA,"+135","TOR Raptors - NO Pelicans"
"22","TOR Raptors","NO Pelicans","Moneyline","TOR Raptors",NA,"-155","TOR Raptors - NO Pelicans"
"23","TOR Raptors","NO Pelicans","Spread","NO Pelicans","+3.5","-110","TOR Raptors - NO Pelicans"
"24","TOR Raptors","NO Pelicans","Spread","TOR Raptors","-3.5","-110","TOR Raptors - NO Pelicans"
"25","LA Lakers","GS Warriors","Spread","GS Warriors","+3.5","-110","LA Lakers - GS Warriors"
"26","LA Lakers","GS Warriors","Spread","LA Lakers","-3.5","-110","LA Lakers - GS Warriors"
"27","LA Lakers","GS Warriors","Moneyline","GS Warriors",NA,"+135","LA Lakers - GS Warriors"
"28","LA Lakers","GS Warriors","Moneyline","LA Lakers",NA,"-155","LA Lakers - GS Warriors"
"29","CLE Cavaliers","DEN Nuggets","Spread","DEN Nuggets","+1.5","-110","CLE Cavaliers - DEN Nuggets"
"30","CLE Cavaliers","DEN Nuggets","Spread","CLE Cavaliers","-1.5","-110","CLE Cavaliers - DEN Nuggets"
"31","CLE Cavaliers","DEN Nuggets","Moneyline","DEN Nuggets",NA,"+105","CLE Cavaliers - DEN Nuggets"
"32","CLE Cavaliers","DEN Nuggets","Moneyline","CLE Cavaliers",NA,"-125","CLE Cavaliers - DEN Nuggets"
"33","PHI 76ers","MEM Grizzlies","Moneyline","MEM Grizzlies",NA,"+145","PHI 76ers - MEM Grizzlies"
"34","PHI 76ers","MEM Grizzlies","Moneyline","PHI 76ers",NA,"-170","PHI 76ers - MEM Grizzlies"
"35","PHI 76ers","MEM Grizzlies","Spread","MEM Grizzlies","+4","-110","PHI 76ers - MEM Grizzlies"
"36","PHI 76ers","MEM Grizzlies","Spread","PHI 76ers","-4","-110","PHI 76ers - MEM Grizzlies"
