"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","PHI 76ers","SAC Kings","Race to 25 Points - 1st Quarter","SAC Kings","+130",NA,"PHI 76ers - SAC Kings"
"2","PHI 76ers","SAC Kings","Race to 25 Points - 1st Quarter","Neither","+1500",NA,"PHI 76ers - SAC Kings"
"3","PHI 76ers","SAC Kings","Race to 25 Points - 1st Quarter","PHI 76ers","-135",NA,"PHI 76ers - SAC Kings"
"4","PHI 76ers","SAC Kings","Race to 20 Points - 4th Quarter","SAC Kings","+110",NA,"PHI 76ers - SAC Kings"
"5","PHI 76ers","SAC Kings","Race to 20 Points - 4th Quarter","Neither","+6000",NA,"PHI 76ers - SAC Kings"
"6","PHI 76ers","SAC Kings","Race to 20 Points - 4th Quarter","PHI 76ers","-130",NA,"PHI 76ers - SAC Kings"
"7","PHI 76ers","SAC Kings","Race to 30 Points - 3rd Quarter","SAC Kings","+285",NA,"PHI 76ers - SAC Kings"
"8","PHI 76ers","SAC Kings","Race to 30 Points - 3rd Quarter","Neither","+125",NA,"PHI 76ers - SAC Kings"
"9","PHI 76ers","SAC Kings","Race to 30 Points - 3rd Quarter","PHI 76ers","+170",NA,"PHI 76ers - SAC Kings"
"10","PHI 76ers","SAC Kings","Race to 10 Points - 4th Quarter","SAC Kings","+105",NA,"PHI 76ers - SAC Kings"
"11","PHI 76ers","SAC Kings","Race to 10 Points - 4th Quarter","PHI 76ers","-130",NA,"PHI 76ers - SAC Kings"
"12","PHI 76ers","SAC Kings","James Harden Points","Over","-115","21.5","PHI 76ers - SAC Kings"
"13","PHI 76ers","SAC Kings","James Harden Points","Under","-115","21.5","PHI 76ers - SAC Kings"
"14","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 1","+1600",NA,"PHI 76ers - SAC Kings"
"15","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 2","+1600",NA,"PHI 76ers - SAC Kings"
"16","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 3","+1600",NA,"PHI 76ers - SAC Kings"
"17","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 4","+1700",NA,"PHI 76ers - SAC Kings"
"18","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 5","+2000",NA,"PHI 76ers - SAC Kings"
"19","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 6","+2000",NA,"PHI 76ers - SAC Kings"
"20","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 7","+2200",NA,"PHI 76ers - SAC Kings"
"21","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 8","+2500",NA,"PHI 76ers - SAC Kings"
"22","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 9","+2800",NA,"PHI 76ers - SAC Kings"
"23","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 10","+3000",NA,"PHI 76ers - SAC Kings"
"24","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 11","+3500",NA,"PHI 76ers - SAC Kings"
"25","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 12","+4000",NA,"PHI 76ers - SAC Kings"
"26","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 13","+4500",NA,"PHI 76ers - SAC Kings"
"27","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 14+","+2000",NA,"PHI 76ers - SAC Kings"
"28","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","Tie","+1500",NA,"PHI 76ers - SAC Kings"
"29","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 1","+1500",NA,"PHI 76ers - SAC Kings"
"30","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 2","+1500",NA,"PHI 76ers - SAC Kings"
"31","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 3","+1600",NA,"PHI 76ers - SAC Kings"
"32","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 4","+1600",NA,"PHI 76ers - SAC Kings"
"33","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 5","+1700",NA,"PHI 76ers - SAC Kings"
"34","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 6","+1800",NA,"PHI 76ers - SAC Kings"
"35","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 7","+2000",NA,"PHI 76ers - SAC Kings"
"36","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 8","+2000",NA,"PHI 76ers - SAC Kings"
"37","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 9","+2200",NA,"PHI 76ers - SAC Kings"
"38","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 10","+2500",NA,"PHI 76ers - SAC Kings"
"39","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 11","+3000",NA,"PHI 76ers - SAC Kings"
"40","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 12","+3500",NA,"PHI 76ers - SAC Kings"
"41","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 13","+4000",NA,"PHI 76ers - SAC Kings"
"42","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter (Exact)","To Win By 14+","+1500",NA,"PHI 76ers - SAC Kings"
"43","PHI 76ers","SAC Kings","James Harden Points - 1st Quarter","Over","-115","5.5","PHI 76ers - SAC Kings"
"44","PHI 76ers","SAC Kings","James Harden Points - 1st Quarter","Under","-115","5.5","PHI 76ers - SAC Kings"
"45","PHI 76ers","SAC Kings","Joel Embiid Double-Double","Yes","-135",NA,"PHI 76ers - SAC Kings"
"46","PHI 76ers","SAC Kings","Joel Embiid Double-Double","No","+105",NA,"PHI 76ers - SAC Kings"
"47","PHI 76ers","SAC Kings","Total Points Odd/Even","Odd","-115",NA,"PHI 76ers - SAC Kings"
"48","PHI 76ers","SAC Kings","Total Points Odd/Even","Even","-105",NA,"PHI 76ers - SAC Kings"
"49","PHI 76ers","SAC Kings","James Harden Rebounds - 1st Quarter","Over","-130","1.5","PHI 76ers - SAC Kings"
"50","PHI 76ers","SAC Kings","James Harden Rebounds - 1st Quarter","Under","+100","1.5","PHI 76ers - SAC Kings"
"51","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 1-3","+500",NA,"PHI 76ers - SAC Kings"
"52","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 4-6","+650",NA,"PHI 76ers - SAC Kings"
"53","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 7-9","+900",NA,"PHI 76ers - SAC Kings"
"54","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 10-12","+1500",NA,"PHI 76ers - SAC Kings"
"55","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 13-15","+2500",NA,"PHI 76ers - SAC Kings"
"56","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 16+","+2500",NA,"PHI 76ers - SAC Kings"
"57","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","Tie","+1400",NA,"PHI 76ers - SAC Kings"
"58","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 1-3","+450",NA,"PHI 76ers - SAC Kings"
"59","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 4-6","+500",NA,"PHI 76ers - SAC Kings"
"60","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 7-9","+600",NA,"PHI 76ers - SAC Kings"
"61","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 10-12","+900",NA,"PHI 76ers - SAC Kings"
"62","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 13-15","+1300",NA,"PHI 76ers - SAC Kings"
"63","PHI 76ers","SAC Kings","Winning Margin - 1st Quarter","To Win By 16+","+1500",NA,"PHI 76ers - SAC Kings"
"64","PHI 76ers","SAC Kings","Race to 20 Points - 3rd Quarter","SAC Kings","+120",NA,"PHI 76ers - SAC Kings"
"65","PHI 76ers","SAC Kings","Race to 20 Points - 3rd Quarter","Neither","+4500",NA,"PHI 76ers - SAC Kings"
"66","PHI 76ers","SAC Kings","Race to 20 Points - 3rd Quarter","PHI 76ers","-145",NA,"PHI 76ers - SAC Kings"
"67","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 1-3","+450",NA,"PHI 76ers - SAC Kings"
"68","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 4-6","+550",NA,"PHI 76ers - SAC Kings"
"69","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 7-9","+850",NA,"PHI 76ers - SAC Kings"
"70","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 10-12","+1300",NA,"PHI 76ers - SAC Kings"
"71","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 13-15","+2200",NA,"PHI 76ers - SAC Kings"
"72","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 16+","+2800",NA,"PHI 76ers - SAC Kings"
"73","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","Tie","+1300",NA,"PHI 76ers - SAC Kings"
"74","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 1-3","+425",NA,"PHI 76ers - SAC Kings"
"75","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 4-6","+500",NA,"PHI 76ers - SAC Kings"
"76","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 7-9","+650",NA,"PHI 76ers - SAC Kings"
"77","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 10-12","+1100",NA,"PHI 76ers - SAC Kings"
"78","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 13-15","+1800",NA,"PHI 76ers - SAC Kings"
"79","PHI 76ers","SAC Kings","Winning Margin - 4th Quarter","To Win By 16+","+1900",NA,"PHI 76ers - SAC Kings"
"80","PHI 76ers","SAC Kings","Race to 10 Points - 2nd Quarter","SAC Kings","-105",NA,"PHI 76ers - SAC Kings"
"81","PHI 76ers","SAC Kings","Race to 10 Points - 2nd Quarter","PHI 76ers","-120",NA,"PHI 76ers - SAC Kings"
"82","PHI 76ers","SAC Kings","Tobias Harris Three Pointers Made","Over","-145","1.5","PHI 76ers - SAC Kings"
"83","PHI 76ers","SAC Kings","Tobias Harris Three Pointers Made","Under","+115","1.5","PHI 76ers - SAC Kings"
"84","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 1","+1500",NA,"PHI 76ers - SAC Kings"
"85","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 2","+1600",NA,"PHI 76ers - SAC Kings"
"86","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 3","+1800",NA,"PHI 76ers - SAC Kings"
"87","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 4","+1800",NA,"PHI 76ers - SAC Kings"
"88","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 5","+2000",NA,"PHI 76ers - SAC Kings"
"89","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 6","+2000",NA,"PHI 76ers - SAC Kings"
"90","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 7","+2200",NA,"PHI 76ers - SAC Kings"
"91","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 8","+2500",NA,"PHI 76ers - SAC Kings"
"92","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 9","+2800",NA,"PHI 76ers - SAC Kings"
"93","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 10","+3000",NA,"PHI 76ers - SAC Kings"
"94","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 11","+3500",NA,"PHI 76ers - SAC Kings"
"95","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 12","+4000",NA,"PHI 76ers - SAC Kings"
"96","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 13","+4500",NA,"PHI 76ers - SAC Kings"
"97","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 14+","+2000",NA,"PHI 76ers - SAC Kings"
"98","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","Tie","+1600",NA,"PHI 76ers - SAC Kings"
"99","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 1","+1600",NA,"PHI 76ers - SAC Kings"
"100","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 2","+1600",NA,"PHI 76ers - SAC Kings"
"101","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 3","+1600",NA,"PHI 76ers - SAC Kings"
"102","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 4","+1700",NA,"PHI 76ers - SAC Kings"
"103","PHI 76ers","SAC Kings","Winning Margin - 2nd Quarter (Exact)","To Win By 5","+1700",NA,"PHI 76ers - SAC Kings"
