"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","OKC Thunder","MIA Heat","1st Quarter / Moneyline","MIA Heat/MIA Heat","+165",NA,"OKC Thunder - MIA Heat"
"2","OKC Thunder","MIA Heat","1st Quarter / Moneyline","MIA Heat/OKC Thunder","+450",NA,"OKC Thunder - MIA Heat"
"3","OKC Thunder","MIA Heat","1st Quarter / Moneyline","Tie/OKC Thunder","+3000",NA,"OKC Thunder - MIA Heat"
"4","OKC Thunder","MIA Heat","1st Quarter / Moneyline","Tie/MIA Heat","+2500",NA,"OKC Thunder - MIA Heat"
"5","OKC Thunder","MIA Heat","1st Quarter / Moneyline","OKC Thunder/OKC Thunder","+250",NA,"OKC Thunder - MIA Heat"
"6","OKC Thunder","MIA Heat","1st Quarter / Moneyline","OKC Thunder/MIA Heat","+425",NA,"OKC Thunder - MIA Heat"
"7","OKC Thunder","MIA Heat","Moneyline 1st Quarter","MIA Heat","-130",NA,"OKC Thunder - MIA Heat"
"8","OKC Thunder","MIA Heat","Moneyline 1st Quarter","OKC Thunder","+110",NA,"OKC Thunder - MIA Heat"
"9","OKC Thunder","MIA Heat","3rd Quarter / Moneyline","MIA Heat/MIA Heat","+185",NA,"OKC Thunder - MIA Heat"
"10","OKC Thunder","MIA Heat","3rd Quarter / Moneyline","MIA Heat/OKC Thunder","+550",NA,"OKC Thunder - MIA Heat"
"11","OKC Thunder","MIA Heat","3rd Quarter / Moneyline","Tie/OKC Thunder","+3000",NA,"OKC Thunder - MIA Heat"
"12","OKC Thunder","MIA Heat","3rd Quarter / Moneyline","Tie/MIA Heat","+2500",NA,"OKC Thunder - MIA Heat"
"13","OKC Thunder","MIA Heat","3rd Quarter / Moneyline","OKC Thunder/OKC Thunder","+230",NA,"OKC Thunder - MIA Heat"
"14","OKC Thunder","MIA Heat","3rd Quarter / Moneyline","OKC Thunder/MIA Heat","+370",NA,"OKC Thunder - MIA Heat"
"15","OKC Thunder","MIA Heat","Spread","MIA Heat","-110","-2.5","OKC Thunder - MIA Heat"
"16","OKC Thunder","MIA Heat","Spread","OKC Thunder","-110","+2.5","OKC Thunder - MIA Heat"
"17","OKC Thunder","MIA Heat","Moneyline / Total Points","MIA Heat / Over 222.5","+220",NA,"OKC Thunder - MIA Heat"
"18","OKC Thunder","MIA Heat","Moneyline / Total Points","OKC Thunder / Over 222.5","+310",NA,"OKC Thunder - MIA Heat"
"19","OKC Thunder","MIA Heat","Moneyline / Total Points","MIA Heat / Under 222.5","+225",NA,"OKC Thunder - MIA Heat"
"20","OKC Thunder","MIA Heat","Moneyline / Total Points","OKC Thunder / Under 222.5","+310",NA,"OKC Thunder - MIA Heat"
"21","OKC Thunder","MIA Heat","Total Alternate","Over","-300","212.5","OKC Thunder - MIA Heat"
"22","OKC Thunder","MIA Heat","Total Alternate","Under","+215","212.5","OKC Thunder - MIA Heat"
"23","OKC Thunder","MIA Heat","Total Alternate","Over","-295","213","OKC Thunder - MIA Heat"
"24","OKC Thunder","MIA Heat","Total Alternate","Under","+210","213","OKC Thunder - MIA Heat"
"25","OKC Thunder","MIA Heat","Total Alternate","Over","-275","213.5","OKC Thunder - MIA Heat"
"26","OKC Thunder","MIA Heat","Total Alternate","Under","+195","213.5","OKC Thunder - MIA Heat"
"27","OKC Thunder","MIA Heat","Total Alternate","Over","-265","214","OKC Thunder - MIA Heat"
"28","OKC Thunder","MIA Heat","Total Alternate","Under","+190","214","OKC Thunder - MIA Heat"
"29","OKC Thunder","MIA Heat","Total Alternate","Over","-250","214.5","OKC Thunder - MIA Heat"
"30","OKC Thunder","MIA Heat","Total Alternate","Under","+180","214.5","OKC Thunder - MIA Heat"
"31","OKC Thunder","MIA Heat","Total Alternate","Over","-240","215","OKC Thunder - MIA Heat"
"32","OKC Thunder","MIA Heat","Total Alternate","Under","+175","215","OKC Thunder - MIA Heat"
"33","OKC Thunder","MIA Heat","Total Alternate","Over","-225","215.5","OKC Thunder - MIA Heat"
"34","OKC Thunder","MIA Heat","Total Alternate","Under","+165","215.5","OKC Thunder - MIA Heat"
"35","OKC Thunder","MIA Heat","Total Alternate","Over","-215","216","OKC Thunder - MIA Heat"
"36","OKC Thunder","MIA Heat","Total Alternate","Under","+160","216","OKC Thunder - MIA Heat"
"37","OKC Thunder","MIA Heat","Total Alternate","Over","-205","216.5","OKC Thunder - MIA Heat"
"38","OKC Thunder","MIA Heat","Total Alternate","Under","+150","216.5","OKC Thunder - MIA Heat"
"39","OKC Thunder","MIA Heat","Total Alternate","Over","-195","217","OKC Thunder - MIA Heat"
"40","OKC Thunder","MIA Heat","Total Alternate","Under","+145","217","OKC Thunder - MIA Heat"
"41","OKC Thunder","MIA Heat","Total Alternate","Over","-185","217.5","OKC Thunder - MIA Heat"
"42","OKC Thunder","MIA Heat","Total Alternate","Under","+140","217.5","OKC Thunder - MIA Heat"
"43","OKC Thunder","MIA Heat","Total Alternate","Over","-180","218","OKC Thunder - MIA Heat"
"44","OKC Thunder","MIA Heat","Total Alternate","Under","+135","218","OKC Thunder - MIA Heat"
"45","OKC Thunder","MIA Heat","Total Alternate","Over","-170","218.5","OKC Thunder - MIA Heat"
"46","OKC Thunder","MIA Heat","Total Alternate","Under","+125","218.5","OKC Thunder - MIA Heat"
"47","OKC Thunder","MIA Heat","Total Alternate","Over","-160","219","OKC Thunder - MIA Heat"
"48","OKC Thunder","MIA Heat","Total Alternate","Under","+120","219","OKC Thunder - MIA Heat"
"49","OKC Thunder","MIA Heat","Total Alternate","Over","-155","219.5","OKC Thunder - MIA Heat"
"50","OKC Thunder","MIA Heat","Total Alternate","Under","+115","219.5","OKC Thunder - MIA Heat"
"51","OKC Thunder","MIA Heat","Total Alternate","Over","-145","220","OKC Thunder - MIA Heat"
"52","OKC Thunder","MIA Heat","Total Alternate","Under","+110","220","OKC Thunder - MIA Heat"
"53","OKC Thunder","MIA Heat","Total Alternate","Over","-140","220.5","OKC Thunder - MIA Heat"
"54","OKC Thunder","MIA Heat","Total Alternate","Under","+105","220.5","OKC Thunder - MIA Heat"
"55","OKC Thunder","MIA Heat","Total Alternate","Over","-135","221","OKC Thunder - MIA Heat"
"56","OKC Thunder","MIA Heat","Total Alternate","Under","+100","221","OKC Thunder - MIA Heat"
"57","OKC Thunder","MIA Heat","Total Alternate","Over","-125","221.5","OKC Thunder - MIA Heat"
"58","OKC Thunder","MIA Heat","Total Alternate","Under","-105","221.5","OKC Thunder - MIA Heat"
"59","OKC Thunder","MIA Heat","Total Alternate","Over","-120","222","OKC Thunder - MIA Heat"
"60","OKC Thunder","MIA Heat","Total Alternate","Under","-110","222","OKC Thunder - MIA Heat"
"61","OKC Thunder","MIA Heat","Total Alternate","Over","-110","223","OKC Thunder - MIA Heat"
"62","OKC Thunder","MIA Heat","Total Alternate","Under","-120","223","OKC Thunder - MIA Heat"
"63","OKC Thunder","MIA Heat","Total Alternate","Over","-105","223.5","OKC Thunder - MIA Heat"
"64","OKC Thunder","MIA Heat","Total Alternate","Under","-125","223.5","OKC Thunder - MIA Heat"
"65","OKC Thunder","MIA Heat","Total Alternate","Over","+100","224","OKC Thunder - MIA Heat"
"66","OKC Thunder","MIA Heat","Total Alternate","Under","-130","224","OKC Thunder - MIA Heat"
"67","OKC Thunder","MIA Heat","Total Alternate","Over","+100","224.5","OKC Thunder - MIA Heat"
"68","OKC Thunder","MIA Heat","Total Alternate","Under","-135","224.5","OKC Thunder - MIA Heat"
"69","OKC Thunder","MIA Heat","Total Alternate","Over","+105","225","OKC Thunder - MIA Heat"
"70","OKC Thunder","MIA Heat","Total Alternate","Under","-140","225","OKC Thunder - MIA Heat"
"71","OKC Thunder","MIA Heat","Total Alternate","Over","+110","225.5","OKC Thunder - MIA Heat"
"72","OKC Thunder","MIA Heat","Total Alternate","Under","-145","225.5","OKC Thunder - MIA Heat"
"73","OKC Thunder","MIA Heat","Total Alternate","Over","+115","226","OKC Thunder - MIA Heat"
"74","OKC Thunder","MIA Heat","Total Alternate","Under","-155","226","OKC Thunder - MIA Heat"
"75","OKC Thunder","MIA Heat","Total Alternate","Over","+120","226.5","OKC Thunder - MIA Heat"
"76","OKC Thunder","MIA Heat","Total Alternate","Under","-160","226.5","OKC Thunder - MIA Heat"
"77","OKC Thunder","MIA Heat","Total Alternate","Over","+125","227","OKC Thunder - MIA Heat"
"78","OKC Thunder","MIA Heat","Total Alternate","Under","-170","227","OKC Thunder - MIA Heat"
"79","OKC Thunder","MIA Heat","Total Alternate","Over","+130","227.5","OKC Thunder - MIA Heat"
"80","OKC Thunder","MIA Heat","Total Alternate","Under","-175","227.5","OKC Thunder - MIA Heat"
"81","OKC Thunder","MIA Heat","Total Alternate","Over","+140","228","OKC Thunder - MIA Heat"
"82","OKC Thunder","MIA Heat","Total Alternate","Under","-185","228","OKC Thunder - MIA Heat"
"83","OKC Thunder","MIA Heat","Total Alternate","Over","+145","228.5","OKC Thunder - MIA Heat"
"84","OKC Thunder","MIA Heat","Total Alternate","Under","-190","228.5","OKC Thunder - MIA Heat"
"85","OKC Thunder","MIA Heat","Total Alternate","Over","+150","229","OKC Thunder - MIA Heat"
"86","OKC Thunder","MIA Heat","Total Alternate","Under","-205","229","OKC Thunder - MIA Heat"
"87","OKC Thunder","MIA Heat","Total Alternate","Over","+155","229.5","OKC Thunder - MIA Heat"
"88","OKC Thunder","MIA Heat","Total Alternate","Under","-210","229.5","OKC Thunder - MIA Heat"
"89","OKC Thunder","MIA Heat","Total Alternate","Over","+165","230","OKC Thunder - MIA Heat"
"90","OKC Thunder","MIA Heat","Total Alternate","Under","-225","230","OKC Thunder - MIA Heat"
"91","OKC Thunder","MIA Heat","Total Alternate","Over","+170","230.5","OKC Thunder - MIA Heat"
"92","OKC Thunder","MIA Heat","Total Alternate","Under","-230","230.5","OKC Thunder - MIA Heat"
"93","OKC Thunder","MIA Heat","Total Alternate","Over","+180","231","OKC Thunder - MIA Heat"
"94","OKC Thunder","MIA Heat","Total Alternate","Under","-245","231","OKC Thunder - MIA Heat"
"95","OKC Thunder","MIA Heat","Total Alternate","Over","+185","231.5","OKC Thunder - MIA Heat"
"96","OKC Thunder","MIA Heat","Total Alternate","Under","-255","231.5","OKC Thunder - MIA Heat"
"97","OKC Thunder","MIA Heat","2nd Quarter / Moneyline","MIA Heat/MIA Heat","+170",NA,"OKC Thunder - MIA Heat"
"98","OKC Thunder","MIA Heat","2nd Quarter / Moneyline","MIA Heat/OKC Thunder","+475",NA,"OKC Thunder - MIA Heat"
"99","OKC Thunder","MIA Heat","2nd Quarter / Moneyline","Tie/OKC Thunder","+2800",NA,"OKC Thunder - MIA Heat"
"100","OKC Thunder","MIA Heat","2nd Quarter / Moneyline","Tie/MIA Heat","+2500",NA,"OKC Thunder - MIA Heat"
"101","OKC Thunder","MIA Heat","2nd Quarter / Moneyline","OKC Thunder/OKC Thunder","+245",NA,"OKC Thunder - MIA Heat"
"102","OKC Thunder","MIA Heat","2nd Quarter / Moneyline","OKC Thunder/MIA Heat","+425",NA,"OKC Thunder - MIA Heat"
"103","OKC Thunder","MIA Heat","Moneyline","MIA Heat","-140",NA,"OKC Thunder - MIA Heat"
"104","OKC Thunder","MIA Heat","Moneyline","OKC Thunder","+120",NA,"OKC Thunder - MIA Heat"
"105","OKC Thunder","MIA Heat","Total","Over","-110","222.5","OKC Thunder - MIA Heat"
"106","OKC Thunder","MIA Heat","Total","Under","-110","222.5","OKC Thunder - MIA Heat"
"107","OKC Thunder","MIA Heat","Total 1st Quarter","Over","-120","56.5","OKC Thunder - MIA Heat"
"108","OKC Thunder","MIA Heat","Total 1st Quarter","Under","+100","56.5","OKC Thunder - MIA Heat"
"109","OKC Thunder","MIA Heat","Spread 1st Quarter","MIA Heat","-105","-1","OKC Thunder - MIA Heat"
"110","OKC Thunder","MIA Heat","Spread 1st Quarter","OKC Thunder","-115","+1","OKC Thunder - MIA Heat"
"111","OKC Thunder","MIA Heat","Moneyline 1st Half","MIA Heat","-135",NA,"OKC Thunder - MIA Heat"
"112","OKC Thunder","MIA Heat","Moneyline 1st Half","OKC Thunder","+115",NA,"OKC Thunder - MIA Heat"
"113","OKC Thunder","MIA Heat","Total 1st Half","Over","-110","114","OKC Thunder - MIA Heat"
"114","OKC Thunder","MIA Heat","Total 1st Half","Under","-110","114","OKC Thunder - MIA Heat"
"115","OKC Thunder","MIA Heat","Half Time / Full Time","MIA Heat/OKC Thunder","+500",NA,"OKC Thunder - MIA Heat"
"116","OKC Thunder","MIA Heat","Half Time / Full Time","MIA Heat/MIA Heat","+110",NA,"OKC Thunder - MIA Heat"
"117","OKC Thunder","MIA Heat","Half Time / Full Time","Tie/OKC Thunder","+3000",NA,"OKC Thunder - MIA Heat"
"118","OKC Thunder","MIA Heat","Half Time / Full Time","Tie/MIA Heat","+2800",NA,"OKC Thunder - MIA Heat"
"119","OKC Thunder","MIA Heat","Half Time / Full Time","OKC Thunder/OKC Thunder","+165",NA,"OKC Thunder - MIA Heat"
"120","OKC Thunder","MIA Heat","Half Time / Full Time","OKC Thunder/MIA Heat","+500",NA,"OKC Thunder - MIA Heat"
"121","OKC Thunder","MIA Heat","Spread 1st Half","MIA Heat","-115","-1","OKC Thunder - MIA Heat"
"122","OKC Thunder","MIA Heat","Spread 1st Half","OKC Thunder","-105","+1","OKC Thunder - MIA Heat"
"123","OKC Thunder","MIA Heat","4th Quarter / Moneyline","MIA Heat/MIA Heat","+185",NA,"OKC Thunder - MIA Heat"
"124","OKC Thunder","MIA Heat","4th Quarter / Moneyline","MIA Heat/OKC Thunder","+550",NA,"OKC Thunder - MIA Heat"
"125","OKC Thunder","MIA Heat","4th Quarter / Moneyline","Tie/OKC Thunder","+2800",NA,"OKC Thunder - MIA Heat"
"126","OKC Thunder","MIA Heat","4th Quarter / Moneyline","Tie/MIA Heat","+2500",NA,"OKC Thunder - MIA Heat"
"127","OKC Thunder","MIA Heat","4th Quarter / Moneyline","OKC Thunder/OKC Thunder","+230",NA,"OKC Thunder - MIA Heat"
"128","OKC Thunder","MIA Heat","4th Quarter / Moneyline","OKC Thunder/MIA Heat","+370",NA,"OKC Thunder - MIA Heat"
"129","OKC Thunder","MIA Heat","Spread / Total Points","OKC Thunder +2.5 / Over 222.5","+255",NA,"OKC Thunder - MIA Heat"
"130","OKC Thunder","MIA Heat","Spread / Total Points","MIA Heat -2.5 / Over 222.5","+265",NA,"OKC Thunder - MIA Heat"
"131","OKC Thunder","MIA Heat","Spread / Total Points","MIA Heat -2.5 / Under 222.5","+260",NA,"OKC Thunder - MIA Heat"
"132","OKC Thunder","MIA Heat","Spread / Total Points","OKC Thunder +2.5 / Under 222.5","+270",NA,"OKC Thunder - MIA Heat"
"133","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+255","-9.5","OKC Thunder - MIA Heat"
"134","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-370","+9.5","OKC Thunder - MIA Heat"
"135","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+245","-9","OKC Thunder - MIA Heat"
"136","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-360","+9","OKC Thunder - MIA Heat"
"137","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+225","-8.5","OKC Thunder - MIA Heat"
"138","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-320","+8.5","OKC Thunder - MIA Heat"
"139","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+215","-8","OKC Thunder - MIA Heat"
"140","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-300","+8","OKC Thunder - MIA Heat"
"141","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+195","-7.5","OKC Thunder - MIA Heat"
"142","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-275","+7.5","OKC Thunder - MIA Heat"
"143","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+185","-7","OKC Thunder - MIA Heat"
"144","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-260","+7","OKC Thunder - MIA Heat"
"145","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+170","-6.5","OKC Thunder - MIA Heat"
"146","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-230","+6.5","OKC Thunder - MIA Heat"
"147","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+160","-6","OKC Thunder - MIA Heat"
"148","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-215","+6","OKC Thunder - MIA Heat"
"149","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+145","-5.5","OKC Thunder - MIA Heat"
"150","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-195","+5.5","OKC Thunder - MIA Heat"
"151","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+135","-5","OKC Thunder - MIA Heat"
"152","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-180","+5","OKC Thunder - MIA Heat"
"153","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+120","-4.5","OKC Thunder - MIA Heat"
"154","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-160","+4.5","OKC Thunder - MIA Heat"
"155","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+115","-4","OKC Thunder - MIA Heat"
"156","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-150","+4","OKC Thunder - MIA Heat"
"157","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","+105","-3.5","OKC Thunder - MIA Heat"
"158","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-135","+3.5","OKC Thunder - MIA Heat"
"159","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-105","-3","OKC Thunder - MIA Heat"
"160","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-125","+3","OKC Thunder - MIA Heat"
"161","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-125","-2","OKC Thunder - MIA Heat"
"162","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","-105","+2","OKC Thunder - MIA Heat"
"163","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-130","-1.5","OKC Thunder - MIA Heat"
"164","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+100","+1.5","OKC Thunder - MIA Heat"
"165","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-140","-1","OKC Thunder - MIA Heat"
"166","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+105","+1","OKC Thunder - MIA Heat"
"167","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-155","+1","OKC Thunder - MIA Heat"
"168","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+115","-1","OKC Thunder - MIA Heat"
"169","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-160","+1.5","OKC Thunder - MIA Heat"
"170","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+120","-1.5","OKC Thunder - MIA Heat"
"171","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-165","+2","OKC Thunder - MIA Heat"
"172","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+125","-2","OKC Thunder - MIA Heat"
"173","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-170","+2.5","OKC Thunder - MIA Heat"
"174","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+130","-2.5","OKC Thunder - MIA Heat"
"175","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-190","+3","OKC Thunder - MIA Heat"
"176","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+140","-3","OKC Thunder - MIA Heat"
"177","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-205","+3.5","OKC Thunder - MIA Heat"
"178","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+150","-3.5","OKC Thunder - MIA Heat"
"179","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-225","+4","OKC Thunder - MIA Heat"
"180","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+165","-4","OKC Thunder - MIA Heat"
"181","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-240","+4.5","OKC Thunder - MIA Heat"
"182","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+175","-4.5","OKC Thunder - MIA Heat"
"183","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-270","+5","OKC Thunder - MIA Heat"
"184","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+195","-5","OKC Thunder - MIA Heat"
"185","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-280","+5.5","OKC Thunder - MIA Heat"
"186","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+200","-5.5","OKC Thunder - MIA Heat"
"187","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-320","+6","OKC Thunder - MIA Heat"
"188","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+225","-6","OKC Thunder - MIA Heat"
"189","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-330","+6.5","OKC Thunder - MIA Heat"
"190","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+235","-6.5","OKC Thunder - MIA Heat"
"191","OKC Thunder","MIA Heat","Spread Alternate","MIA Heat","-380","+7","OKC Thunder - MIA Heat"
"192","OKC Thunder","MIA Heat","Spread Alternate","OKC Thunder","+260","-7","OKC Thunder - MIA Heat"
"193","TOR Raptors","SAC Kings","Spread / Total Points","TOR Raptors -5.5 / Over 231.5","+275",NA,"TOR Raptors - SAC Kings"
"194","TOR Raptors","SAC Kings","Spread / Total Points","SAC Kings +5.5 / Over 231.5","+240",NA,"TOR Raptors - SAC Kings"
"195","TOR Raptors","SAC Kings","Spread / Total Points","TOR Raptors -5.5 / Under 231.5","+270",NA,"TOR Raptors - SAC Kings"
"196","TOR Raptors","SAC Kings","Spread / Total Points","SAC Kings +5.5 / Under 231.5","+265",NA,"TOR Raptors - SAC Kings"
"197","TOR Raptors","SAC Kings","2nd Quarter / Moneyline","SAC Kings/SAC Kings","+340",NA,"TOR Raptors - SAC Kings"
"198","TOR Raptors","SAC Kings","2nd Quarter / Moneyline","SAC Kings/TOR Raptors","+340",NA,"TOR Raptors - SAC Kings"
"199","TOR Raptors","SAC Kings","2nd Quarter / Moneyline","Tie/TOR Raptors","+2200",NA,"TOR Raptors - SAC Kings"
"200","TOR Raptors","SAC Kings","2nd Quarter / Moneyline","Tie/SAC Kings","+3500",NA,"TOR Raptors - SAC Kings"
"201","TOR Raptors","SAC Kings","2nd Quarter / Moneyline","TOR Raptors/TOR Raptors","+130",NA,"TOR Raptors - SAC Kings"
"202","TOR Raptors","SAC Kings","2nd Quarter / Moneyline","TOR Raptors/SAC Kings","+650",NA,"TOR Raptors - SAC Kings"
"203","TOR Raptors","SAC Kings","Moneyline","SAC Kings","+170",NA,"TOR Raptors - SAC Kings"
"204","TOR Raptors","SAC Kings","Moneyline","TOR Raptors","-200",NA,"TOR Raptors - SAC Kings"
"205","TOR Raptors","SAC Kings","Spread 1st Half","SAC Kings","-110","+3","TOR Raptors - SAC Kings"
"206","TOR Raptors","SAC Kings","Spread 1st Half","TOR Raptors","-110","-3","TOR Raptors - SAC Kings"
"207","TOR Raptors","SAC Kings","Moneyline 1st Quarter","SAC Kings","+135",NA,"TOR Raptors - SAC Kings"
"208","TOR Raptors","SAC Kings","Moneyline 1st Quarter","TOR Raptors","-155",NA,"TOR Raptors - SAC Kings"
"209","TOR Raptors","SAC Kings","1st Quarter / Moneyline","SAC Kings/SAC Kings","+370",NA,"TOR Raptors - SAC Kings"
"210","TOR Raptors","SAC Kings","1st Quarter / Moneyline","SAC Kings/TOR Raptors","+390",NA,"TOR Raptors - SAC Kings"
"211","TOR Raptors","SAC Kings","1st Quarter / Moneyline","Tie/TOR Raptors","+2200",NA,"TOR Raptors - SAC Kings"
"212","TOR Raptors","SAC Kings","1st Quarter / Moneyline","Tie/SAC Kings","+3500",NA,"TOR Raptors - SAC Kings"
