"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","MEM Grizzlies","SAC Kings","4th Quarter / Moneyline","SAC Kings/SAC Kings","+285",NA,"MEM Grizzlies - SAC Kings"
"2","MEM Grizzlies","SAC Kings","4th Quarter / Moneyline","SAC Kings/MEM Grizzlies","+330",NA,"MEM Grizzlies - SAC Kings"
"3","MEM Grizzlies","SAC Kings","4th Quarter / Moneyline","Tie/MEM Grizzlies","+2500",NA,"MEM Grizzlies - SAC Kings"
"4","MEM Grizzlies","SAC Kings","4th Quarter / Moneyline","Tie/SAC Kings","+3000",NA,"MEM Grizzlies - SAC Kings"
"5","MEM Grizzlies","SAC Kings","4th Quarter / Moneyline","MEM Grizzlies/MEM Grizzlies","+165",NA,"MEM Grizzlies - SAC Kings"
"6","MEM Grizzlies","SAC Kings","4th Quarter / Moneyline","MEM Grizzlies/SAC Kings","+500",NA,"MEM Grizzlies - SAC Kings"
"7","MEM Grizzlies","SAC Kings","3rd Quarter / Moneyline","SAC Kings/SAC Kings","+275",NA,"MEM Grizzlies - SAC Kings"
"8","MEM Grizzlies","SAC Kings","3rd Quarter / Moneyline","SAC Kings/MEM Grizzlies","+400",NA,"MEM Grizzlies - SAC Kings"
"9","MEM Grizzlies","SAC Kings","3rd Quarter / Moneyline","Tie/MEM Grizzlies","+2200",NA,"MEM Grizzlies - SAC Kings"
"10","MEM Grizzlies","SAC Kings","3rd Quarter / Moneyline","Tie/SAC Kings","+3500",NA,"MEM Grizzlies - SAC Kings"
"11","MEM Grizzlies","SAC Kings","3rd Quarter / Moneyline","MEM Grizzlies/MEM Grizzlies","+145",NA,"MEM Grizzlies - SAC Kings"
"12","MEM Grizzlies","SAC Kings","3rd Quarter / Moneyline","MEM Grizzlies/SAC Kings","+550",NA,"MEM Grizzlies - SAC Kings"
"13","MEM Grizzlies","SAC Kings","Total 1st Half","Over","-110","122.5","MEM Grizzlies - SAC Kings"
"14","MEM Grizzlies","SAC Kings","Total 1st Half","Under","-110","122.5","MEM Grizzlies - SAC Kings"
"15","MEM Grizzlies","SAC Kings","Total Alternate","Over","-330","227.5","MEM Grizzlies - SAC Kings"
"16","MEM Grizzlies","SAC Kings","Total Alternate","Under","+230","227.5","MEM Grizzlies - SAC Kings"
"17","MEM Grizzlies","SAC Kings","Total Alternate","Over","-320","228","MEM Grizzlies - SAC Kings"
"18","MEM Grizzlies","SAC Kings","Total Alternate","Under","+225","228","MEM Grizzlies - SAC Kings"
"19","MEM Grizzlies","SAC Kings","Total Alternate","Over","-300","228.5","MEM Grizzlies - SAC Kings"
"20","MEM Grizzlies","SAC Kings","Total Alternate","Under","+215","228.5","MEM Grizzlies - SAC Kings"
"21","MEM Grizzlies","SAC Kings","Total Alternate","Over","-290","229","MEM Grizzlies - SAC Kings"
"22","MEM Grizzlies","SAC Kings","Total Alternate","Under","+205","229","MEM Grizzlies - SAC Kings"
"23","MEM Grizzlies","SAC Kings","Total Alternate","Over","-270","229.5","MEM Grizzlies - SAC Kings"
"24","MEM Grizzlies","SAC Kings","Total Alternate","Under","+195","229.5","MEM Grizzlies - SAC Kings"
"25","MEM Grizzlies","SAC Kings","Total Alternate","Over","-260","230","MEM Grizzlies - SAC Kings"
"26","MEM Grizzlies","SAC Kings","Total Alternate","Under","+190","230","MEM Grizzlies - SAC Kings"
"27","MEM Grizzlies","SAC Kings","Total Alternate","Over","-245","230.5","MEM Grizzlies - SAC Kings"
"28","MEM Grizzlies","SAC Kings","Total Alternate","Under","+175","230.5","MEM Grizzlies - SAC Kings"
"29","MEM Grizzlies","SAC Kings","Total Alternate","Over","-235","231","MEM Grizzlies - SAC Kings"
"30","MEM Grizzlies","SAC Kings","Total Alternate","Under","+170","231","MEM Grizzlies - SAC Kings"
"31","MEM Grizzlies","SAC Kings","Total Alternate","Over","-220","231.5","MEM Grizzlies - SAC Kings"
"32","MEM Grizzlies","SAC Kings","Total Alternate","Under","+165","231.5","MEM Grizzlies - SAC Kings"
"33","MEM Grizzlies","SAC Kings","Total Alternate","Over","-215","232","MEM Grizzlies - SAC Kings"
"34","MEM Grizzlies","SAC Kings","Total Alternate","Under","+160","232","MEM Grizzlies - SAC Kings"
"35","MEM Grizzlies","SAC Kings","Total Alternate","Over","-200","232.5","MEM Grizzlies - SAC Kings"
"36","MEM Grizzlies","SAC Kings","Total Alternate","Under","+150","232.5","MEM Grizzlies - SAC Kings"
"37","MEM Grizzlies","SAC Kings","Total Alternate","Over","-195","233","MEM Grizzlies - SAC Kings"
"38","MEM Grizzlies","SAC Kings","Total Alternate","Under","+145","233","MEM Grizzlies - SAC Kings"
"39","MEM Grizzlies","SAC Kings","Total Alternate","Over","-185","233.5","MEM Grizzlies - SAC Kings"
"40","MEM Grizzlies","SAC Kings","Total Alternate","Under","+135","233.5","MEM Grizzlies - SAC Kings"
"41","MEM Grizzlies","SAC Kings","Total Alternate","Over","-175","234","MEM Grizzlies - SAC Kings"
"42","MEM Grizzlies","SAC Kings","Total Alternate","Under","+130","234","MEM Grizzlies - SAC Kings"
"43","MEM Grizzlies","SAC Kings","Total Alternate","Over","-165","234.5","MEM Grizzlies - SAC Kings"
