"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","ATL Hawks","NY Knicks","Total 1st Quarter","Over","59.5","-115","ATL Hawks - NY Knicks"
"2","ATL Hawks","NY Knicks","Total 1st Quarter","Under","59.5","-105","ATL Hawks - NY Knicks"
"3","ATL Hawks","NY Knicks","Total 1st Half","Over","119","-110","ATL Hawks - NY Knicks"
"4","ATL Hawks","NY Knicks","Total 1st Half","Under","119","-110","ATL Hawks - NY Knicks"
"5","ATL Hawks","NY Knicks","Moneyline 4th Quarter","NY Knicks",NA,"-105","ATL Hawks - NY Knicks"
"6","ATL Hawks","NY Knicks","Moneyline 4th Quarter","ATL Hawks",NA,"-115","ATL Hawks - NY Knicks"
"7","ATL Hawks","NY Knicks","Spread 3rd Quarter","NY Knicks","+0.5","-110","ATL Hawks - NY Knicks"
"8","ATL Hawks","NY Knicks","Spread 3rd Quarter","ATL Hawks","-0.5","-110","ATL Hawks - NY Knicks"
"9","ATL Hawks","NY Knicks","Total","Over","233","-110","ATL Hawks - NY Knicks"
"10","ATL Hawks","NY Knicks","Total","Under","233","-110","ATL Hawks - NY Knicks"
"11","ATL Hawks","NY Knicks","Spread","NY Knicks","+3.5","-110","ATL Hawks - NY Knicks"
"12","ATL Hawks","NY Knicks","Spread","ATL Hawks","-3.5","-110","ATL Hawks - NY Knicks"
"13","ATL Hawks","NY Knicks","Total 3rd Quarter","Over","56.5","-120","ATL Hawks - NY Knicks"
"14","ATL Hawks","NY Knicks","Total 3rd Quarter","Under","56.5","+100","ATL Hawks - NY Knicks"
"15","ATL Hawks","NY Knicks","Moneyline 1st Quarter","NY Knicks",NA,"+110","ATL Hawks - NY Knicks"
"16","ATL Hawks","NY Knicks","Moneyline 1st Quarter","ATL Hawks",NA,"-130","ATL Hawks - NY Knicks"
"17","ATL Hawks","NY Knicks","Moneyline 1st Half","NY Knicks",NA,"+115","ATL Hawks - NY Knicks"
"18","ATL Hawks","NY Knicks","Moneyline 1st Half","ATL Hawks",NA,"-135","ATL Hawks - NY Knicks"
"19","ATL Hawks","NY Knicks","Total 2nd Quarter","Over","59.5","+100","ATL Hawks - NY Knicks"
"20","ATL Hawks","NY Knicks","Total 2nd Quarter","Under","59.5","-120","ATL Hawks - NY Knicks"
"21","ATL Hawks","NY Knicks","Spread 1st Quarter","NY Knicks","+1","-115","ATL Hawks - NY Knicks"
"22","ATL Hawks","NY Knicks","Spread 1st Quarter","ATL Hawks","-1","-105","ATL Hawks - NY Knicks"
"23","ATL Hawks","NY Knicks","Spread 4th Quarter","NY Knicks","+0.5","-115","ATL Hawks - NY Knicks"
"24","ATL Hawks","NY Knicks","Spread 4th Quarter","ATL Hawks","-0.5","-105","ATL Hawks - NY Knicks"
"25","ATL Hawks","NY Knicks","Moneyline","NY Knicks",NA,"+135","ATL Hawks - NY Knicks"
"26","ATL Hawks","NY Knicks","Moneyline","ATL Hawks",NA,"-155","ATL Hawks - NY Knicks"
"27","ATL Hawks","NY Knicks","Spread 2nd Quarter","NY Knicks","+0.5","-110","ATL Hawks - NY Knicks"
"28","ATL Hawks","NY Knicks","Spread 2nd Quarter","ATL Hawks","-0.5","-110","ATL Hawks - NY Knicks"
"29","ATL Hawks","NY Knicks","Total 4th Quarter","Over","57.5","+100","ATL Hawks - NY Knicks"
"30","ATL Hawks","NY Knicks","Total 4th Quarter","Under","57.5","-120","ATL Hawks - NY Knicks"
"31","ATL Hawks","NY Knicks","Moneyline 2nd Quarter","NY Knicks",NA,"+105","ATL Hawks - NY Knicks"
"32","ATL Hawks","NY Knicks","Moneyline 2nd Quarter","ATL Hawks",NA,"-125","ATL Hawks - NY Knicks"
"33","ATL Hawks","NY Knicks","Spread 1st Half","NY Knicks","+1.5","-110","ATL Hawks - NY Knicks"
"34","ATL Hawks","NY Knicks","Spread 1st Half","ATL Hawks","-1.5","-110","ATL Hawks - NY Knicks"
"35","ATL Hawks","NY Knicks","Moneyline 3rd Quarter","NY Knicks",NA,"+110","ATL Hawks - NY Knicks"
"36","ATL Hawks","NY Knicks","Moneyline 3rd Quarter","ATL Hawks",NA,"-130","ATL Hawks - NY Knicks"
"37","MIN Timberwolves","WAS Wizards","Spread","WAS Wizards","+4","-110","MIN Timberwolves - WAS Wizards"
"38","MIN Timberwolves","WAS Wizards","Spread","MIN Timberwolves","-4","-110","MIN Timberwolves - WAS Wizards"
"39","MIN Timberwolves","WAS Wizards","Moneyline","WAS Wizards",NA,"+150","MIN Timberwolves - WAS Wizards"
"40","MIN Timberwolves","WAS Wizards","Moneyline","MIN Timberwolves",NA,"-175","MIN Timberwolves - WAS Wizards"
"41","LA Lakers","NO Pelicans","Spread","NO Pelicans","+5","-110","LA Lakers - NO Pelicans"
"42","LA Lakers","NO Pelicans","Spread","LA Lakers","-5","-110","LA Lakers - NO Pelicans"
"43","LA Lakers","NO Pelicans","Moneyline 2nd Quarter","NO Pelicans",NA,"+120","LA Lakers - NO Pelicans"
"44","LA Lakers","NO Pelicans","Moneyline 2nd Quarter","LA Lakers",NA,"-140","LA Lakers - NO Pelicans"
"45","LA Lakers","NO Pelicans","Spread 3rd Quarter","NO Pelicans","+1","-105","LA Lakers - NO Pelicans"
"46","LA Lakers","NO Pelicans","Spread 3rd Quarter","LA Lakers","-1","-115","LA Lakers - NO Pelicans"
"47","LA Lakers","NO Pelicans","Moneyline 4th Quarter","NO Pelicans",NA,"+105","LA Lakers - NO Pelicans"
"48","LA Lakers","NO Pelicans","Moneyline 4th Quarter","LA Lakers",NA,"-125","LA Lakers - NO Pelicans"
"49","LA Lakers","NO Pelicans","Moneyline 1st Quarter","NO Pelicans",NA,"+125","LA Lakers - NO Pelicans"
"50","LA Lakers","NO Pelicans","Moneyline 1st Quarter","LA Lakers",NA,"-145","LA Lakers - NO Pelicans"
"51","LA Lakers","NO Pelicans","Moneyline 1st Half","NO Pelicans",NA,"+140","LA Lakers - NO Pelicans"
"52","LA Lakers","NO Pelicans","Moneyline 1st Half","LA Lakers",NA,"-165","LA Lakers - NO Pelicans"
"53","LA Lakers","NO Pelicans","Spread 1st Half","NO Pelicans","+2.5","-110","LA Lakers - NO Pelicans"
"54","LA Lakers","NO Pelicans","Spread 1st Half","LA Lakers","-2.5","-110","LA Lakers - NO Pelicans"
"55","LA Lakers","NO Pelicans","Total 4th Quarter","Over","59.5","-110","LA Lakers - NO Pelicans"
"56","LA Lakers","NO Pelicans","Total 4th Quarter","Under","59.5","-110","LA Lakers - NO Pelicans"
"57","LA Lakers","NO Pelicans","Total","Over","235","-110","LA Lakers - NO Pelicans"
"58","LA Lakers","NO Pelicans","Total","Under","235","-110","LA Lakers - NO Pelicans"
"59","LA Lakers","NO Pelicans","Spread 2nd Quarter","NO Pelicans","+1","-105","LA Lakers - NO Pelicans"
"60","LA Lakers","NO Pelicans","Spread 2nd Quarter","LA Lakers","-1","-115","LA Lakers - NO Pelicans"
"61","LA Lakers","NO Pelicans","Spread 1st Quarter","NO Pelicans","+1.5","-110","LA Lakers - NO Pelicans"
