"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","GS Warriors","POR Trail Blazers","Josh Hart Turnovers","Over","1.5","-120","GS Warriors - POR Trail Blazers"
"2","GS Warriors","POR Trail Blazers","Josh Hart Turnovers","Under","1.5","-110","GS Warriors - POR Trail Blazers"
"3","GS Warriors","POR Trail Blazers","Josh Hart Assists + Rebounds","Over","11.5","-140","GS Warriors - POR Trail Blazers"
"4","GS Warriors","POR Trail Blazers","Josh Hart Assists + Rebounds","Under","11.5","+110","GS Warriors - POR Trail Blazers"
"5","GS Warriors","POR Trail Blazers","Anfernee Simons Points + Assists + Rebounds","Over","28.5","-110","GS Warriors - POR Trail Blazers"
"6","GS Warriors","POR Trail Blazers","Anfernee Simons Points + Assists + Rebounds","Under","28.5","-120","GS Warriors - POR Trail Blazers"
"7","GS Warriors","POR Trail Blazers","Jerami Grant Steals","Over","0.5","-185","GS Warriors - POR Trail Blazers"
"8","GS Warriors","POR Trail Blazers","Jerami Grant Steals","Under","0.5","+150","GS Warriors - POR Trail Blazers"
"9","GS Warriors","POR Trail Blazers","Jordan Poole Steals + Blocks","Over","1.5","+190","GS Warriors - POR Trail Blazers"
"10","GS Warriors","POR Trail Blazers","Jordan Poole Steals + Blocks","Under","1.5","-235","GS Warriors - POR Trail Blazers"
"11","GS Warriors","POR Trail Blazers","Damian Lillard Three Pointers Made","Over","4.5","+125","GS Warriors - POR Trail Blazers"
"12","GS Warriors","POR Trail Blazers","Damian Lillard Three Pointers Made","Under","4.5","-155","GS Warriors - POR Trail Blazers"
"13","GS Warriors","POR Trail Blazers","Damian Lillard Blocks","Over","0.5","+285","GS Warriors - POR Trail Blazers"
"14","GS Warriors","POR Trail Blazers","Damian Lillard Blocks","Under","0.5","-375","GS Warriors - POR Trail Blazers"
"15","GS Warriors","POR Trail Blazers","Klay Thompson Assists + Rebounds","Over","7.5","+120","GS Warriors - POR Trail Blazers"
"16","GS Warriors","POR Trail Blazers","Klay Thompson Assists + Rebounds","Under","7.5","-150","GS Warriors - POR Trail Blazers"
"17","GS Warriors","POR Trail Blazers","Kevon Looney Turnovers","Over","0.5","-115","GS Warriors - POR Trail Blazers"
"18","GS Warriors","POR Trail Blazers","Kevon Looney Turnovers","Under","0.5","-115","GS Warriors - POR Trail Blazers"
"19","GS Warriors","POR Trail Blazers","Damian Lillard Double-Double","Yes",NA,"+195","GS Warriors - POR Trail Blazers"
"20","GS Warriors","POR Trail Blazers","Damian Lillard Double-Double","No",NA,"-240","GS Warriors - POR Trail Blazers"
"21","GS Warriors","POR Trail Blazers","Jusuf Nurkic Points + Assists","Over","17.5","+100","GS Warriors - POR Trail Blazers"
"22","GS Warriors","POR Trail Blazers","Jusuf Nurkic Points + Assists","Under","17.5","-130","GS Warriors - POR Trail Blazers"
"23","GS Warriors","POR Trail Blazers","Jordan Poole Double-Double","Yes",NA,"+2000","GS Warriors - POR Trail Blazers"
"24","GS Warriors","POR Trail Blazers","Jordan Poole Double-Double","No",NA,"-12500","GS Warriors - POR Trail Blazers"
"25","GS Warriors","POR Trail Blazers","Race to 25 Points - 3rd Quarter","POR Trail Blazers",NA,"-115","GS Warriors - POR Trail Blazers"
"26","GS Warriors","POR Trail Blazers","Race to 25 Points - 3rd Quarter","Neither",NA,"+1100","GS Warriors - POR Trail Blazers"
"27","GS Warriors","POR Trail Blazers","Race to 25 Points - 3rd Quarter","GS Warriors",NA,"+120","GS Warriors - POR Trail Blazers"
"28","GS Warriors","POR Trail Blazers","Kevon Looney Blocks","Over","0.5","+105","GS Warriors - POR Trail Blazers"
"29","GS Warriors","POR Trail Blazers","Kevon Looney Blocks","Under","0.5","-135","GS Warriors - POR Trail Blazers"
"30","GS Warriors","POR Trail Blazers","Race to 20 Points - 4th Quarter","POR Trail Blazers",NA,"-120","GS Warriors - POR Trail Blazers"
"31","GS Warriors","POR Trail Blazers","Race to 20 Points - 4th Quarter","Neither",NA,"+5500","GS Warriors - POR Trail Blazers"
"32","GS Warriors","POR Trail Blazers","Race to 20 Points - 4th Quarter","GS Warriors",NA,"+100","GS Warriors - POR Trail Blazers"
"33","GS Warriors","POR Trail Blazers","Jerami Grant Double-Double","Yes",NA,"+2200","GS Warriors - POR Trail Blazers"
"34","GS Warriors","POR Trail Blazers","Jerami Grant Double-Double","No",NA,"-17500","GS Warriors - POR Trail Blazers"
"35","GS Warriors","POR Trail Blazers","Kevon Looney Points + Assists","Over","10.5","-105","GS Warriors - POR Trail Blazers"
"36","GS Warriors","POR Trail Blazers","Kevon Looney Points + Assists","Under","10.5","-125","GS Warriors - POR Trail Blazers"
"37","GS Warriors","POR Trail Blazers","Josh Hart Steals + Blocks","Over","1.5","+130","GS Warriors - POR Trail Blazers"
"38","GS Warriors","POR Trail Blazers","Josh Hart Steals + Blocks","Under","1.5","-160","GS Warriors - POR Trail Blazers"
"39","GS Warriors","POR Trail Blazers","Jordan Poole Points","Over","26.5","-110","GS Warriors - POR Trail Blazers"
"40","GS Warriors","POR Trail Blazers","Jordan Poole Points","Under","26.5","-120","GS Warriors - POR Trail Blazers"
"41","GS Warriors","POR Trail Blazers","Kevon Looney Assists + Rebounds","Over","11.5","+105","GS Warriors - POR Trail Blazers"
"42","GS Warriors","POR Trail Blazers","Kevon Looney Assists + Rebounds","Under","11.5","-135","GS Warriors - POR Trail Blazers"
"43","GS Warriors","POR Trail Blazers","Race to 25 Points - 4th Quarter","POR Trail Blazers",NA,"-105","GS Warriors - POR Trail Blazers"
"44","GS Warriors","POR Trail Blazers","Race to 25 Points - 4th Quarter","Neither",NA,"+1000","GS Warriors - POR Trail Blazers"
"45","GS Warriors","POR Trail Blazers","Race to 25 Points - 4th Quarter","GS Warriors",NA,"+115","GS Warriors - POR Trail Blazers"
"46","GS Warriors","POR Trail Blazers","Race to 30 Points - 2nd Quarter","POR Trail Blazers",NA,"+145","GS Warriors - POR Trail Blazers"
"47","GS Warriors","POR Trail Blazers","Race to 30 Points - 2nd Quarter","Neither",NA,"+205","GS Warriors - POR Trail Blazers"
"48","GS Warriors","POR Trail Blazers","Race to 30 Points - 2nd Quarter","GS Warriors",NA,"+185","GS Warriors - POR Trail Blazers"
"49","GS Warriors","POR Trail Blazers","Klay Thompson Steals","Over","0.5","-160","GS Warriors - POR Trail Blazers"
"50","GS Warriors","POR Trail Blazers","Klay Thompson Steals","Under","0.5","+130","GS Warriors - POR Trail Blazers"
"51","GS Warriors","POR Trail Blazers","Race to 15 Points - 2nd Quarter","POR Trail Blazers",NA,"-125","GS Warriors - POR Trail Blazers"
"52","GS Warriors","POR Trail Blazers","Race to 15 Points - 2nd Quarter","Neither",NA,"+10000","GS Warriors - POR Trail Blazers"
"53","GS Warriors","POR Trail Blazers","Race to 15 Points - 2nd Quarter","GS Warriors",NA,"+100","GS Warriors - POR Trail Blazers"
"54","GS Warriors","POR Trail Blazers","Anfernee Simons Steals","Over","0.5","-145","GS Warriors - POR Trail Blazers"
"55","GS Warriors","POR Trail Blazers","Anfernee Simons Steals","Under","0.5","+115","GS Warriors - POR Trail Blazers"
"56","GS Warriors","POR Trail Blazers","Damian Lillard Rebounds","Over","3.5","-125","GS Warriors - POR Trail Blazers"
"57","GS Warriors","POR Trail Blazers","Damian Lillard Rebounds","Under","3.5","-105","GS Warriors - POR Trail Blazers"
"58","GS Warriors","POR Trail Blazers","Race to 15 Points - 4th Quarter","POR Trail Blazers",NA,"-120","GS Warriors - POR Trail Blazers"
"59","GS Warriors","POR Trail Blazers","Race to 15 Points - 4th Quarter","Neither",NA,"+10000","GS Warriors - POR Trail Blazers"
"60","GS Warriors","POR Trail Blazers","Race to 15 Points - 4th Quarter","GS Warriors",NA,"-105","GS Warriors - POR Trail Blazers"
"61","GS Warriors","POR Trail Blazers","Jusuf Nurkic Double-Double","Yes",NA,"-110","GS Warriors - POR Trail Blazers"
"62","GS Warriors","POR Trail Blazers","Jusuf Nurkic Double-Double","No",NA,"-120","GS Warriors - POR Trail Blazers"
"63","GS Warriors","POR Trail Blazers","Draymond Green Steals + Blocks","Over","1.5","-145","GS Warriors - POR Trail Blazers"
"64","GS Warriors","POR Trail Blazers","Draymond Green Steals + Blocks","Under","1.5","+115","GS Warriors - POR Trail Blazers"
"65","GS Warriors","POR Trail Blazers","Anfernee Simons Rebounds","Over","2.5","-130","GS Warriors - POR Trail Blazers"
"66","GS Warriors","POR Trail Blazers","Anfernee Simons Rebounds","Under","2.5","+100","GS Warriors - POR Trail Blazers"
"67","GS Warriors","POR Trail Blazers","Kevon Looney Steals","Over","0.5","+165","GS Warriors - POR Trail Blazers"
"68","GS Warriors","POR Trail Blazers","Kevon Looney Steals","Under","0.5","-205","GS Warriors - POR Trail Blazers"
"69","GS Warriors","POR Trail Blazers","Draymond Green Three Pointers Made","Over","0.5","-115","GS Warriors - POR Trail Blazers"
"70","GS Warriors","POR Trail Blazers","Draymond Green Three Pointers Made","Under","0.5","-115","GS Warriors - POR Trail Blazers"
"71","GS Warriors","POR Trail Blazers","Damian Lillard Steals","Over","0.5","-150","GS Warriors - POR Trail Blazers"
"72","GS Warriors","POR Trail Blazers","Damian Lillard Steals","Under","0.5","+120","GS Warriors - POR Trail Blazers"
"73","GS Warriors","POR Trail Blazers","Race to 25 Points - 1st Quarter","POR Trail Blazers",NA,"-110","GS Warriors - POR Trail Blazers"
"74","GS Warriors","POR Trail Blazers","Race to 25 Points - 1st Quarter","Neither",NA,"+1200","GS Warriors - POR Trail Blazers"
"75","GS Warriors","POR Trail Blazers","Race to 25 Points - 1st Quarter","GS Warriors",NA,"+115","GS Warriors - POR Trail Blazers"
"76","GS Warriors","POR Trail Blazers","Klay Thompson Points + Rebounds","Over","28.5","-110","GS Warriors - POR Trail Blazers"
"77","GS Warriors","POR Trail Blazers","Klay Thompson Points + Rebounds","Under","28.5","-120","GS Warriors - POR Trail Blazers"
"78","GS Warriors","POR Trail Blazers","Klay Thompson Turnovers","Over","1.5","-145","GS Warriors - POR Trail Blazers"
"79","GS Warriors","POR Trail Blazers","Klay Thompson Turnovers","Under","1.5","+115","GS Warriors - POR Trail Blazers"
"80","GS Warriors","POR Trail Blazers","Jusuf Nurkic Turnovers","Over","2.5","+135","GS Warriors - POR Trail Blazers"
"81","GS Warriors","POR Trail Blazers","Jusuf Nurkic Turnovers","Under","2.5","-165","GS Warriors - POR Trail Blazers"
