"","Home","Away","Bet","Outcome","Line","Matchup"
"1","BOS Celtics","PHI 76ers","Race to 30 Points - 4th Quarter","PHI 76ers","+310","BOS Celtics - PHI 76ers"
"2","BOS Celtics","PHI 76ers","Race to 30 Points - 4th Quarter","Neither","-130","BOS Celtics - PHI 76ers"
"3","BOS Celtics","PHI 76ers","Race to 30 Points - 4th Quarter","BOS Celtics","+275","BOS Celtics - PHI 76ers"
"4","BOS Celtics","PHI 76ers","Race to 30 Points - 1st Quarter","PHI 76ers","+300","BOS Celtics - PHI 76ers"
"5","BOS Celtics","PHI 76ers","Race to 30 Points - 1st Quarter","Neither","+100","BOS Celtics - PHI 76ers"
"6","BOS Celtics","PHI 76ers","Race to 30 Points - 1st Quarter","BOS Celtics","+210","BOS Celtics - PHI 76ers"
"7","BOS Celtics","PHI 76ers","Race to 10 Points - 1st Quarter","PHI 76ers","+100","BOS Celtics - PHI 76ers"
"8","BOS Celtics","PHI 76ers","Race to 10 Points - 1st Quarter","BOS Celtics","-125","BOS Celtics - PHI 76ers"
"9","BOS Celtics","PHI 76ers","Race to 5 Points - 4th Quarter","PHI 76ers","+100","BOS Celtics - PHI 76ers"
"10","BOS Celtics","PHI 76ers","Race to 5 Points - 4th Quarter","BOS Celtics","-120","BOS Celtics - PHI 76ers"
"11","BOS Celtics","PHI 76ers","Race to 25 Points - 2nd Quarter","PHI 76ers","+135","BOS Celtics - PHI 76ers"
"12","BOS Celtics","PHI 76ers","Race to 25 Points - 2nd Quarter","Neither","+500","BOS Celtics - PHI 76ers"
"13","BOS Celtics","PHI 76ers","Race to 25 Points - 2nd Quarter","BOS Celtics","+105","BOS Celtics - PHI 76ers"
"14","BOS Celtics","PHI 76ers","Race to 20 Points - 3rd Quarter","PHI 76ers","+115","BOS Celtics - PHI 76ers"
"15","BOS Celtics","PHI 76ers","Race to 20 Points - 3rd Quarter","Neither","+3000","BOS Celtics - PHI 76ers"
"16","BOS Celtics","PHI 76ers","Race to 20 Points - 3rd Quarter","BOS Celtics","-135","BOS Celtics - PHI 76ers"
"17","BOS Celtics","PHI 76ers","Race to 25 Points - 1st Quarter","PHI 76ers","+140","BOS Celtics - PHI 76ers"
"18","BOS Celtics","PHI 76ers","Race to 25 Points - 1st Quarter","Neither","+500","BOS Celtics - PHI 76ers"
"19","BOS Celtics","PHI 76ers","Race to 25 Points - 1st Quarter","BOS Celtics","+100","BOS Celtics - PHI 76ers"
"20","BOS Celtics","PHI 76ers","Race to 25 Points - 4th Quarter","PHI 76ers","+140","BOS Celtics - PHI 76ers"
"21","BOS Celtics","PHI 76ers","Race to 25 Points - 4th Quarter","Neither","+390","BOS Celtics - PHI 76ers"
"22","BOS Celtics","PHI 76ers","Race to 25 Points - 4th Quarter","BOS Celtics","+115","BOS Celtics - PHI 76ers"
"23","BOS Celtics","PHI 76ers","Race to 15 Points - 1st Quarter","PHI 76ers","+105","BOS Celtics - PHI 76ers"
"24","BOS Celtics","PHI 76ers","Race to 15 Points - 1st Quarter","Neither","+9000","BOS Celtics - PHI 76ers"
"25","BOS Celtics","PHI 76ers","Race to 15 Points - 1st Quarter","BOS Celtics","-135","BOS Celtics - PHI 76ers"
"26","BOS Celtics","PHI 76ers","Race to 10 Points - 3rd Quarter","PHI 76ers","+100","BOS Celtics - PHI 76ers"
"27","BOS Celtics","PHI 76ers","Race to 10 Points - 3rd Quarter","BOS Celtics","-125","BOS Celtics - PHI 76ers"
"28","BOS Celtics","PHI 76ers","Race to 5 Points - 3rd Quarter","PHI 76ers","+100","BOS Celtics - PHI 76ers"
"29","BOS Celtics","PHI 76ers","Race to 5 Points - 3rd Quarter","BOS Celtics","-125","BOS Celtics - PHI 76ers"
"30","BOS Celtics","PHI 76ers","Race to 10 Points - 2nd Quarter","PHI 76ers","-105","BOS Celtics - PHI 76ers"
"31","BOS Celtics","PHI 76ers","Race to 10 Points - 2nd Quarter","BOS Celtics","-120","BOS Celtics - PHI 76ers"
"32","BOS Celtics","PHI 76ers","Race to 5 Points - 2nd Quarter","PHI 76ers","-105","BOS Celtics - PHI 76ers"
"33","BOS Celtics","PHI 76ers","Race to 5 Points - 2nd Quarter","BOS Celtics","-120","BOS Celtics - PHI 76ers"
"34","BOS Celtics","PHI 76ers","Race to 30 Points - 2nd Quarter","PHI 76ers","+300","BOS Celtics - PHI 76ers"
"35","BOS Celtics","PHI 76ers","Race to 30 Points - 2nd Quarter","Neither","-110","BOS Celtics - PHI 76ers"
"36","BOS Celtics","PHI 76ers","Race to 30 Points - 2nd Quarter","BOS Celtics","+225","BOS Celtics - PHI 76ers"
"37","BOS Celtics","PHI 76ers","Race to 15 Points - 4th Quarter","PHI 76ers","+100","BOS Celtics - PHI 76ers"
"38","BOS Celtics","PHI 76ers","Race to 15 Points - 4th Quarter","Neither","+9000","BOS Celtics - PHI 76ers"
"39","BOS Celtics","PHI 76ers","Race to 15 Points - 4th Quarter","BOS Celtics","-125","BOS Celtics - PHI 76ers"
"40","BOS Celtics","PHI 76ers","Race to 20 Points - 2nd Quarter","PHI 76ers","+105","BOS Celtics - PHI 76ers"
"41","BOS Celtics","PHI 76ers","Race to 20 Points - 2nd Quarter","Neither","+3500","BOS Celtics - PHI 76ers"
"42","BOS Celtics","PHI 76ers","Race to 20 Points - 2nd Quarter","BOS Celtics","-125","BOS Celtics - PHI 76ers"
"43","BOS Celtics","PHI 76ers","Race to 15 Points - 2nd Quarter","PHI 76ers","+100","BOS Celtics - PHI 76ers"
"44","BOS Celtics","PHI 76ers","Race to 15 Points - 2nd Quarter","Neither","+9000","BOS Celtics - PHI 76ers"
"45","BOS Celtics","PHI 76ers","Race to 15 Points - 2nd Quarter","BOS Celtics","-125","BOS Celtics - PHI 76ers"
