"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","PHO Suns","UTA Jazz","Moneyline 1st Half","UTA Jazz","+175",NA,"PHO Suns - UTA Jazz"
"2","PHO Suns","UTA Jazz","Moneyline 1st Half","PHO Suns","-205",NA,"PHO Suns - UTA Jazz"
"3","PHO Suns","UTA Jazz","Half Time / Full Time","UTA Jazz/PHO Suns","+380",NA,"PHO Suns - UTA Jazz"
"4","PHO Suns","UTA Jazz","Half Time / Full Time","UTA Jazz/UTA Jazz","+370",NA,"PHO Suns - UTA Jazz"
"5","PHO Suns","UTA Jazz","Half Time / Full Time","Tie/PHO Suns","+2200",NA,"PHO Suns - UTA Jazz"
"6","PHO Suns","UTA Jazz","Half Time / Full Time","Tie/UTA Jazz","+4000",NA,"PHO Suns - UTA Jazz"
"7","PHO Suns","UTA Jazz","Half Time / Full Time","PHO Suns/PHO Suns","-180",NA,"PHO Suns - UTA Jazz"
"8","PHO Suns","UTA Jazz","Half Time / Full Time","PHO Suns/UTA Jazz","+800",NA,"PHO Suns - UTA Jazz"
"9","PHO Suns","UTA Jazz","Total","Over","-105","233","PHO Suns - UTA Jazz"
"10","PHO Suns","UTA Jazz","Total","Under","-115","233","PHO Suns - UTA Jazz"
"11","PHO Suns","UTA Jazz","Moneyline / Total Points","PHO Suns / Over 232.5","+155",NA,"PHO Suns - UTA Jazz"
"12","PHO Suns","UTA Jazz","Moneyline / Total Points","UTA Jazz / Over 232.5","+500",NA,"PHO Suns - UTA Jazz"
"13","PHO Suns","UTA Jazz","Moneyline / Total Points","PHO Suns / Under 232.5","+160",NA,"PHO Suns - UTA Jazz"
"14","PHO Suns","UTA Jazz","Moneyline / Total Points","UTA Jazz / Under 232.5","+550",NA,"PHO Suns - UTA Jazz"
"15","PHO Suns","UTA Jazz","Total 1st Quarter","Over","-115","56.5","PHO Suns - UTA Jazz"
"16","PHO Suns","UTA Jazz","Total 1st Quarter","Under","-105","56.5","PHO Suns - UTA Jazz"
"17","PHO Suns","UTA Jazz","Moneyline","UTA Jazz","+230",NA,"PHO Suns - UTA Jazz"
"18","PHO Suns","UTA Jazz","Moneyline","PHO Suns","-275",NA,"PHO Suns - UTA Jazz"
"19","PHO Suns","UTA Jazz","4th Quarter / Moneyline","UTA Jazz/UTA Jazz","+475",NA,"PHO Suns - UTA Jazz"
"20","PHO Suns","UTA Jazz","4th Quarter / Moneyline","UTA Jazz/PHO Suns","+230",NA,"PHO Suns - UTA Jazz"
"21","PHO Suns","UTA Jazz","4th Quarter / Moneyline","Tie/PHO Suns","+2000",NA,"PHO Suns - UTA Jazz"
"22","PHO Suns","UTA Jazz","4th Quarter / Moneyline","Tie/UTA Jazz","+4000",NA,"PHO Suns - UTA Jazz"
"23","PHO Suns","UTA Jazz","4th Quarter / Moneyline","PHO Suns/PHO Suns","+125",NA,"PHO Suns - UTA Jazz"
"24","PHO Suns","UTA Jazz","4th Quarter / Moneyline","PHO Suns/UTA Jazz","+850",NA,"PHO Suns - UTA Jazz"
"25","PHO Suns","UTA Jazz","2nd Quarter / Moneyline","UTA Jazz/UTA Jazz","+500",NA,"PHO Suns - UTA Jazz"
"26","PHO Suns","UTA Jazz","2nd Quarter / Moneyline","UTA Jazz/PHO Suns","+310",NA,"PHO Suns - UTA Jazz"
"27","PHO Suns","UTA Jazz","2nd Quarter / Moneyline","Tie/PHO Suns","+2000",NA,"PHO Suns - UTA Jazz"
"28","PHO Suns","UTA Jazz","2nd Quarter / Moneyline","Tie/UTA Jazz","+4000",NA,"PHO Suns - UTA Jazz"
"29","PHO Suns","UTA Jazz","2nd Quarter / Moneyline","PHO Suns/PHO Suns","+100",NA,"PHO Suns - UTA Jazz"
"30","PHO Suns","UTA Jazz","2nd Quarter / Moneyline","PHO Suns/UTA Jazz","+800",NA,"PHO Suns - UTA Jazz"
