"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","SAC Kings","MEM Grizzlies","Moneyline","MEM Grizzlies","-125",NA,"SAC Kings - MEM Grizzlies"
"2","SAC Kings","MEM Grizzlies","Moneyline","SAC Kings","+105",NA,"SAC Kings - MEM Grizzlies"
"3","SAC Kings","MEM Grizzlies","Spread","MEM Grizzlies","-110","-1.5","SAC Kings - MEM Grizzlies"
"4","SAC Kings","MEM Grizzlies","Spread","SAC Kings","-110","+1.5","SAC Kings - MEM Grizzlies"
"5","DEN Nuggets","OKC Thunder","Total 1st Quarter","Over","-105","60.5","DEN Nuggets - OKC Thunder"
"6","DEN Nuggets","OKC Thunder","Total 1st Quarter","Under","-115","60.5","DEN Nuggets - OKC Thunder"
"7","DEN Nuggets","OKC Thunder","Total","Over","-110","239.5","DEN Nuggets - OKC Thunder"
"8","DEN Nuggets","OKC Thunder","Total","Under","-110","239.5","DEN Nuggets - OKC Thunder"
"9","DEN Nuggets","OKC Thunder","Moneyline 1st Half","OKC Thunder","+150",NA,"DEN Nuggets - OKC Thunder"
"10","DEN Nuggets","OKC Thunder","Moneyline 1st Half","DEN Nuggets","-175",NA,"DEN Nuggets - OKC Thunder"
"11","DEN Nuggets","OKC Thunder","Spread","OKC Thunder","-105","+5","DEN Nuggets - OKC Thunder"
"12","DEN Nuggets","OKC Thunder","Spread","DEN Nuggets","-115","-5","DEN Nuggets - OKC Thunder"
"13","DEN Nuggets","OKC Thunder","Spread 1st Half","OKC Thunder","-105","+2.5","DEN Nuggets - OKC Thunder"
"14","DEN Nuggets","OKC Thunder","Spread 1st Half","DEN Nuggets","-115","-2.5","DEN Nuggets - OKC Thunder"
"15","DEN Nuggets","OKC Thunder","Spread 1st Quarter","OKC Thunder","-115","+2","DEN Nuggets - OKC Thunder"
"16","DEN Nuggets","OKC Thunder","Spread 1st Quarter","DEN Nuggets","-105","-2","DEN Nuggets - OKC Thunder"
"17","DEN Nuggets","OKC Thunder","Moneyline 1st Quarter","OKC Thunder","+135",NA,"DEN Nuggets - OKC Thunder"
"18","DEN Nuggets","OKC Thunder","Moneyline 1st Quarter","DEN Nuggets","-155",NA,"DEN Nuggets - OKC Thunder"
"19","DEN Nuggets","OKC Thunder","Moneyline","OKC Thunder","+175",NA,"DEN Nuggets - OKC Thunder"
"20","DEN Nuggets","OKC Thunder","Moneyline","DEN Nuggets","-205",NA,"DEN Nuggets - OKC Thunder"
"21","DEN Nuggets","OKC Thunder","Total 1st Half","Over","-115","120.5","DEN Nuggets - OKC Thunder"
"22","DEN Nuggets","OKC Thunder","Total 1st Half","Under","-105","120.5","DEN Nuggets - OKC Thunder"
"23","GS Warriors","BKN Nets","Spread 1st Half","BKN Nets","-110","+4.5","GS Warriors - BKN Nets"
