"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","ORL Magic","MIA Heat","Paolo Banchero v Bam Adebayo - Field Goals Made Spread","Bam Adebayo","-1.5","-115","ORL Magic - MIA Heat"
"2","ORL Magic","MIA Heat","Paolo Banchero v Bam Adebayo - Field Goals Made Spread","Paolo Banchero","+1.5","-120","ORL Magic - MIA Heat"
"3","ORL Magic","MIA Heat","Bam Adebayo Points + Rebounds","Over","30.5","-120","ORL Magic - MIA Heat"
"4","ORL Magic","MIA Heat","Bam Adebayo Points + Rebounds","Under","30.5","-110","ORL Magic - MIA Heat"
"5","ORL Magic","MIA Heat","Wendell Carter Jr. Points + Rebounds","Over","21.5","-115","ORL Magic - MIA Heat"
"6","ORL Magic","MIA Heat","Wendell Carter Jr. Points + Rebounds","Under","21.5","-115","ORL Magic - MIA Heat"
"7","ORL Magic","MIA Heat","Wendell Carter Jr. Points","Over","13.5","-115","ORL Magic - MIA Heat"
"8","ORL Magic","MIA Heat","Wendell Carter Jr. Points","Under","13.5","-115","ORL Magic - MIA Heat"
"9","ORL Magic","MIA Heat","Franz Wagner Assists + Rebounds","Over","7.5","-110","ORL Magic - MIA Heat"
"10","ORL Magic","MIA Heat","Franz Wagner Assists + Rebounds","Under","7.5","-120","ORL Magic - MIA Heat"
"11","ORL Magic","MIA Heat","Caleb Martin Double-Double","Yes",NA,"+1100","ORL Magic - MIA Heat"
"12","ORL Magic","MIA Heat","Caleb Martin Double-Double","No",NA,"-2500","ORL Magic - MIA Heat"
"13","ORL Magic","MIA Heat","Paolo Banchero v Tyler Herro - Points Spread","Tyler Herro","-3.5","-110","ORL Magic - MIA Heat"
"14","ORL Magic","MIA Heat","Paolo Banchero v Tyler Herro - Points Spread","Paolo Banchero","+3.5","-125","ORL Magic - MIA Heat"
"15","ORL Magic","MIA Heat","Markelle Fultz Points + Assists + Rebounds","Over","22.5","+100","ORL Magic - MIA Heat"
"16","ORL Magic","MIA Heat","Markelle Fultz Points + Assists + Rebounds","Under","22.5","-130","ORL Magic - MIA Heat"
"17","ORL Magic","MIA Heat","Race to 15 Points - 4th Quarter","MIA Heat",NA,"-115","ORL Magic - MIA Heat"
"18","ORL Magic","MIA Heat","Race to 15 Points - 4th Quarter","Neither",NA,"+9000","ORL Magic - MIA Heat"
"19","ORL Magic","MIA Heat","Race to 15 Points - 4th Quarter","ORL Magic",NA,"-105","ORL Magic - MIA Heat"
"20","ORL Magic","MIA Heat","Franz Wagner v Tyler Herro - Field Goals Made Moneyline","Tyler Herro",NA,"-235","ORL Magic - MIA Heat"
"21","ORL Magic","MIA Heat","Franz Wagner v Tyler Herro - Field Goals Made Moneyline","Franz Wagner",NA,"+170","ORL Magic - MIA Heat"
"22","ORL Magic","MIA Heat","Paolo Banchero v Jimmy Butler - Fewest Turnovers Moneyline","Jimmy Butler",NA,"-185","ORL Magic - MIA Heat"
"23","ORL Magic","MIA Heat","Paolo Banchero v Jimmy Butler - Fewest Turnovers Moneyline","Paolo Banchero",NA,"+135","ORL Magic - MIA Heat"
"24","ORL Magic","MIA Heat","Franz Wagner v Tyler Herro - Three Pointers Made Spread","Tyler Herro","-1.5","-135","ORL Magic - MIA Heat"
"25","ORL Magic","MIA Heat","Franz Wagner v Tyler Herro - Three Pointers Made Spread","Franz Wagner","+1.5","+100","ORL Magic - MIA Heat"
"26","ORL Magic","MIA Heat","Franz Wagner v Jimmy Butler - Rebounds Spread","Jimmy Butler","-1.5","-105","ORL Magic - MIA Heat"
"27","ORL Magic","MIA Heat","Franz Wagner v Jimmy Butler - Rebounds Spread","Franz Wagner","+1.5","-125","ORL Magic - MIA Heat"
"28","ORL Magic","MIA Heat","Paolo Banchero & Bam Adebayo -Turnovers Total","Over","4.5","+100","ORL Magic - MIA Heat"
"29","ORL Magic","MIA Heat","Paolo Banchero & Bam Adebayo -Turnovers Total","Under","4.5","-130","ORL Magic - MIA Heat"
"30","ORL Magic","MIA Heat","Wendell Carter Jr. Double-Double","Yes",NA,"+235","ORL Magic - MIA Heat"
"31","ORL Magic","MIA Heat","Wendell Carter Jr. Double-Double","No",NA,"-300","ORL Magic - MIA Heat"
"32","ORL Magic","MIA Heat","Race to 20 Points - 1st Quarter","MIA Heat",NA,"-115","ORL Magic - MIA Heat"
"33","ORL Magic","MIA Heat","Race to 20 Points - 1st Quarter","Neither",NA,"+4500","ORL Magic - MIA Heat"
