"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","SA Spurs","SAC Kings","Total","Over","243.5","-110","SA Spurs - SAC Kings"
"2","SA Spurs","SAC Kings","Total","Under","243.5","-110","SA Spurs - SAC Kings"
"3","SA Spurs","SAC Kings","Moneyline","SAC Kings",NA,"-305","SA Spurs - SAC Kings"
"4","SA Spurs","SAC Kings","Moneyline","SA Spurs",NA,"+255","SA Spurs - SAC Kings"
"5","SA Spurs","SAC Kings","Spread","SAC Kings","-7.5","-115","SA Spurs - SAC Kings"
"6","SA Spurs","SAC Kings","Spread","SA Spurs","+7.5","-105","SA Spurs - SAC Kings"
"7","MIN Timberwolves","GS Warriors","Total","Over","239","-110","MIN Timberwolves - GS Warriors"
"8","MIN Timberwolves","GS Warriors","Total","Under","239","-110","MIN Timberwolves - GS Warriors"
"9","MIN Timberwolves","GS Warriors","Moneyline","GS Warriors",NA,"-150","MIN Timberwolves - GS Warriors"
"10","MIN Timberwolves","GS Warriors","Moneyline","MIN Timberwolves",NA,"+130","MIN Timberwolves - GS Warriors"
"11","MIN Timberwolves","GS Warriors","Spread","GS Warriors","-3","-110","MIN Timberwolves - GS Warriors"
"12","MIN Timberwolves","GS Warriors","Spread","MIN Timberwolves","+3","-110","MIN Timberwolves - GS Warriors"
"13","PHO Suns","ATL Hawks","Moneyline","ATL Hawks",NA,"+100","PHO Suns - ATL Hawks"
"14","PHO Suns","ATL Hawks","Moneyline","PHO Suns",NA,"-120","PHO Suns - ATL Hawks"
"15","PHO Suns","ATL Hawks","Spread","ATL Hawks","+1.5","-110","PHO Suns - ATL Hawks"
"16","PHO Suns","ATL Hawks","Spread","PHO Suns","-1.5","-110","PHO Suns - ATL Hawks"
"17","PHO Suns","ATL Hawks","Total","Over","231.5","-110","PHO Suns - ATL Hawks"
"18","PHO Suns","ATL Hawks","Total","Under","231.5","-110","PHO Suns - ATL Hawks"
"19","MEM Grizzlies","POR Trail Blazers","Spread","POR Trail Blazers","+5.5","-105","MEM Grizzlies - POR Trail Blazers"
"20","MEM Grizzlies","POR Trail Blazers","Spread","MEM Grizzlies","-5.5","-115","MEM Grizzlies - POR Trail Blazers"
"21","MEM Grizzlies","POR Trail Blazers","Moneyline","POR Trail Blazers",NA,"+190","MEM Grizzlies - POR Trail Blazers"
"22","MEM Grizzlies","POR Trail Blazers","Moneyline","MEM Grizzlies",NA,"-225","MEM Grizzlies - POR Trail Blazers"
"23","MEM Grizzlies","POR Trail Blazers","Total","Over","237.5","-105","MEM Grizzlies - POR Trail Blazers"
"24","MEM Grizzlies","POR Trail Blazers","Total","Under","237.5","-115","MEM Grizzlies - POR Trail Blazers"
"25","PHI 76ers","ORL Magic","Moneyline","ORL Magic",NA,"+330","PHI 76ers - ORL Magic"
"26","PHI 76ers","ORL Magic","Moneyline","PHI 76ers",NA,"-410","PHI 76ers - ORL Magic"
"27","PHI 76ers","ORL Magic","Total","Over","230.5","-110","PHI 76ers - ORL Magic"
"28","PHI 76ers","ORL Magic","Total","Under","230.5","-110","PHI 76ers - ORL Magic"
"29","PHI 76ers","ORL Magic","Spread","ORL Magic","+9.5","-110","PHI 76ers - ORL Magic"
"30","PHI 76ers","ORL Magic","Spread","PHI 76ers","-9.5","-110","PHI 76ers - ORL Magic"
"31","HOU Rockets","OKC Thunder","Total","Over","232.5","-110","HOU Rockets - OKC Thunder"
"32","HOU Rockets","OKC Thunder","Total","Under","232.5","-110","HOU Rockets - OKC Thunder"
"33","HOU Rockets","OKC Thunder","Spread","OKC Thunder","-5.5","-110","HOU Rockets - OKC Thunder"
"34","HOU Rockets","OKC Thunder","Spread","HOU Rockets","+5.5","-110","HOU Rockets - OKC Thunder"
"35","HOU Rockets","OKC Thunder","Moneyline","OKC Thunder",NA,"-205","HOU Rockets - OKC Thunder"
"36","HOU Rockets","OKC Thunder","Moneyline","HOU Rockets",NA,"+175","HOU Rockets - OKC Thunder"
"37","BOS Celtics","BKN Nets","Spread","BKN Nets","+8","-105","BOS Celtics - BKN Nets"
"38","BOS Celtics","BKN Nets","Spread","BOS Celtics","-8","-115","BOS Celtics - BKN Nets"
"39","BOS Celtics","BKN Nets","Moneyline","BKN Nets",NA,"+280","BOS Celtics - BKN Nets"
"40","BOS Celtics","BKN Nets","Moneyline","BOS Celtics",NA,"-340","BOS Celtics - BKN Nets"
"41","BOS Celtics","BKN Nets","Total","Over","226.5","-110","BOS Celtics - BKN Nets"
"42","BOS Celtics","BKN Nets","Total","Under","226.5","-110","BOS Celtics - BKN Nets"
"43","UTA Jazz","TOR Raptors","Moneyline","TOR Raptors",NA,"+125","UTA Jazz - TOR Raptors"
"44","UTA Jazz","TOR Raptors","Moneyline","UTA Jazz",NA,"-145","UTA Jazz - TOR Raptors"
"45","UTA Jazz","TOR Raptors","Spread","TOR Raptors","+3","-110","UTA Jazz - TOR Raptors"
"46","UTA Jazz","TOR Raptors","Spread","UTA Jazz","-3","-110","UTA Jazz - TOR Raptors"
"47","UTA Jazz","TOR Raptors","Total","Over","230.5","-105","UTA Jazz - TOR Raptors"
"48","UTA Jazz","TOR Raptors","Total","Under","230.5","-115","UTA Jazz - TOR Raptors"
"49","DET Pistons","WAS Wizards","Total","Over","237.5","-110","DET Pistons - WAS Wizards"
"50","DET Pistons","WAS Wizards","Total","Under","237.5","-110","DET Pistons - WAS Wizards"
"51","DET Pistons","WAS Wizards","Spread","WAS Wizards","-6","-110","DET Pistons - WAS Wizards"
"52","DET Pistons","WAS Wizards","Spread","DET Pistons","+6","-110","DET Pistons - WAS Wizards"
"53","DET Pistons","WAS Wizards","Moneyline","WAS Wizards",NA,"-240","DET Pistons - WAS Wizards"
"54","DET Pistons","WAS Wizards","Moneyline","DET Pistons",NA,"+200","DET Pistons - WAS Wizards"
