"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","SA Spurs","PHO Suns","Mikal Bridges Points + Rebounds","Over","21.5","-120","SA Spurs - PHO Suns"
"2","SA Spurs","PHO Suns","Mikal Bridges Points + Rebounds","Under","21.5","-110","SA Spurs - PHO Suns"
"3","SA Spurs","PHO Suns","Chris Paul Rebounds","Over","4.5","+130","SA Spurs - PHO Suns"
"4","SA Spurs","PHO Suns","Chris Paul Rebounds","Under","4.5","-160","SA Spurs - PHO Suns"
"5","SA Spurs","PHO Suns","Race to 10 Points - 4th Quarter","PHO Suns",NA,"-130","SA Spurs - PHO Suns"
"6","SA Spurs","PHO Suns","Race to 10 Points - 4th Quarter","SA Spurs",NA,"+105","SA Spurs - PHO Suns"
"7","SA Spurs","PHO Suns","Mikal Bridges Points + Assists","Over","21.5","-115","SA Spurs - PHO Suns"
"8","SA Spurs","PHO Suns","Mikal Bridges Points + Assists","Under","21.5","-115","SA Spurs - PHO Suns"
"9","SA Spurs","PHO Suns","Race to 25 Points - 1st Quarter","PHO Suns",NA,"-135","SA Spurs - PHO Suns"
"10","SA Spurs","PHO Suns","Race to 25 Points - 1st Quarter","Neither",NA,"+1100","SA Spurs - PHO Suns"
"11","SA Spurs","PHO Suns","Race to 25 Points - 1st Quarter","SA Spurs",NA,"+145","SA Spurs - PHO Suns"
"12","SA Spurs","PHO Suns","Deandre Ayton Points + Assists","Over","21.5","-120","SA Spurs - PHO Suns"
"13","SA Spurs","PHO Suns","Deandre Ayton Points + Assists","Under","21.5","-110","SA Spurs - PHO Suns"
"14","SA Spurs","PHO Suns","Mikal Bridges Assists","Over","3.5","-130","SA Spurs - PHO Suns"
"15","SA Spurs","PHO Suns","Mikal Bridges Assists","Under","3.5","+100","SA Spurs - PHO Suns"
"16","SA Spurs","PHO Suns","Race to 10 Points - 1st Quarter","PHO Suns",NA,"-140","SA Spurs - PHO Suns"
"17","SA Spurs","PHO Suns","Race to 10 Points - 1st Quarter","SA Spurs",NA,"+115","SA Spurs - PHO Suns"
"18","SA Spurs","PHO Suns","Race to 30 Points - 1st Quarter","PHO Suns",NA,"+140","SA Spurs - PHO Suns"
"19","SA Spurs","PHO Suns","Race to 30 Points - 1st Quarter","Neither",NA,"+165","SA Spurs - PHO Suns"
"20","SA Spurs","PHO Suns","Race to 30 Points - 1st Quarter","SA Spurs",NA,"+250","SA Spurs - PHO Suns"
"21","SA Spurs","PHO Suns","Chris Paul Points + Rebounds","Over","21.5","-105","SA Spurs - PHO Suns"
"22","SA Spurs","PHO Suns","Chris Paul Points + Rebounds","Under","21.5","-125","SA Spurs - PHO Suns"
"23","SA Spurs","PHO Suns","Chris Paul Points + Assists","Over","26.5","-120","SA Spurs - PHO Suns"
"24","SA Spurs","PHO Suns","Chris Paul Points + Assists","Under","26.5","-110","SA Spurs - PHO Suns"
"25","SA Spurs","PHO Suns","Deandre Ayton Rebounds","Over","10.5","-135","SA Spurs - PHO Suns"
"26","SA Spurs","PHO Suns","Deandre Ayton Rebounds","Under","10.5","+105","SA Spurs - PHO Suns"
"27","SA Spurs","PHO Suns","Deandre Ayton Points","Over","19.5","-115","SA Spurs - PHO Suns"
"28","SA Spurs","PHO Suns","Deandre Ayton Points","Under","19.5","-115","SA Spurs - PHO Suns"
"29","SA Spurs","PHO Suns","Deandre Ayton Assists","Over","2.5","+140","SA Spurs - PHO Suns"
"30","SA Spurs","PHO Suns","Deandre Ayton Assists","Under","2.5","-175","SA Spurs - PHO Suns"
"31","SA Spurs","PHO Suns","Chris Paul Points","Over","16.5","-125","SA Spurs - PHO Suns"
"32","SA Spurs","PHO Suns","Chris Paul Points","Under","16.5","-105","SA Spurs - PHO Suns"
"33","SA Spurs","PHO Suns","Mikal Bridges Assists + Rebounds","Over","7.5","-130","SA Spurs - PHO Suns"
"34","SA Spurs","PHO Suns","Mikal Bridges Assists + Rebounds","Under","7.5","+100","SA Spurs - PHO Suns"
"35","SA Spurs","PHO Suns","Mikal Bridges Rebounds","Over","3.5","-150","SA Spurs - PHO Suns"
"36","SA Spurs","PHO Suns","Mikal Bridges Rebounds","Under","3.5","+120","SA Spurs - PHO Suns"
