"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","NY Knicks","DAL Mavericks","Spread / Total Points","DAL Mavericks -1.5 / Over 224.5","+265",NA,"NY Knicks - DAL Mavericks"
"2","NY Knicks","DAL Mavericks","Spread / Total Points","NY Knicks +1.5 / Over 224.5","+245",NA,"NY Knicks - DAL Mavericks"
"3","NY Knicks","DAL Mavericks","Spread / Total Points","NY Knicks +1.5 / Under 224.5","+280",NA,"NY Knicks - DAL Mavericks"
"4","NY Knicks","DAL Mavericks","Spread / Total Points","DAL Mavericks -1.5 / Under 224.5","+260",NA,"NY Knicks - DAL Mavericks"
"5","NY Knicks","DAL Mavericks","Moneyline","DAL Mavericks","-120",NA,"NY Knicks - DAL Mavericks"
"6","NY Knicks","DAL Mavericks","Moneyline","NY Knicks","+100",NA,"NY Knicks - DAL Mavericks"
"7","NY Knicks","DAL Mavericks","Spread","DAL Mavericks","-110","-1.5","NY Knicks - DAL Mavericks"
"8","NY Knicks","DAL Mavericks","Spread","NY Knicks","-110","+1.5","NY Knicks - DAL Mavericks"
"9","NY Knicks","DAL Mavericks","Total","Over","-110","224.5","NY Knicks - DAL Mavericks"
"10","NY Knicks","DAL Mavericks","Total","Under","-110","224.5","NY Knicks - DAL Mavericks"
"11","NY Knicks","DAL Mavericks","Moneyline / Total Points","DAL Mavericks / Over 224.5","+250",NA,"NY Knicks - DAL Mavericks"
"12","NY Knicks","DAL Mavericks","Moneyline / Total Points","NY Knicks / Over 224.5","+275",NA,"NY Knicks - DAL Mavericks"
"13","NY Knicks","DAL Mavericks","Moneyline / Total Points","NY Knicks / Under 224.5","+285",NA,"NY Knicks - DAL Mavericks"
"14","NY Knicks","DAL Mavericks","Moneyline / Total Points","DAL Mavericks / Under 224.5","+245",NA,"NY Knicks - DAL Mavericks"
"15","MIN Timberwolves","OKC Thunder","Spread / Total Points","MIN Timberwolves -4.5 / Over 232.5","+255",NA,"MIN Timberwolves - OKC Thunder"
"16","MIN Timberwolves","OKC Thunder","Spread / Total Points","OKC Thunder +4.5 / Over 232.5","+265",NA,"MIN Timberwolves - OKC Thunder"
"17","MIN Timberwolves","OKC Thunder","Spread / Total Points","OKC Thunder +4.5 / Under 232.5","+290",NA,"MIN Timberwolves - OKC Thunder"
"18","MIN Timberwolves","OKC Thunder","Spread / Total Points","MIN Timberwolves -4.5 / Under 232.5","+235",NA,"MIN Timberwolves - OKC Thunder"
"19","MIN Timberwolves","OKC Thunder","Moneyline / Total Points","MIN Timberwolves / Over 232.5","+180",NA,"MIN Timberwolves - OKC Thunder"
"20","MIN Timberwolves","OKC Thunder","Moneyline / Total Points","OKC Thunder / Over 232.5","+400",NA,"MIN Timberwolves - OKC Thunder"
"21","MIN Timberwolves","OKC Thunder","Moneyline / Total Points","OKC Thunder / Under 232.5","+425",NA,"MIN Timberwolves - OKC Thunder"
"22","MIN Timberwolves","OKC Thunder","Moneyline / Total Points","MIN Timberwolves / Under 232.5","+175",NA,"MIN Timberwolves - OKC Thunder"
"23","UTA Jazz","POR Trail Blazers","Spread","POR Trail Blazers","-105","+4","UTA Jazz - POR Trail Blazers"
"24","UTA Jazz","POR Trail Blazers","Spread","UTA Jazz","-115","-4","UTA Jazz - POR Trail Blazers"
"25","UTA Jazz","POR Trail Blazers","Spread / Total Points","UTA Jazz -4.5 / Over 225.5","+265",NA,"UTA Jazz - POR Trail Blazers"
"26","UTA Jazz","POR Trail Blazers","Spread / Total Points","POR Trail Blazers +4.5 / Over 225.5","+245",NA,"UTA Jazz - POR Trail Blazers"
"27","UTA Jazz","POR Trail Blazers","Spread / Total Points","POR Trail Blazers +4.5 / Under 225.5","+255",NA,"UTA Jazz - POR Trail Blazers"
"28","UTA Jazz","POR Trail Blazers","Spread / Total Points","UTA Jazz -4.5 / Under 225.5","+285",NA,"UTA Jazz - POR Trail Blazers"
"29","UTA Jazz","POR Trail Blazers","Moneyline / Total Points","UTA Jazz / Over 225.5","+195",NA,"UTA Jazz - POR Trail Blazers"
"30","UTA Jazz","POR Trail Blazers","Moneyline / Total Points","POR Trail Blazers / Over 225.5","+360",NA,"UTA Jazz - POR Trail Blazers"
"31","UTA Jazz","POR Trail Blazers","Moneyline / Total Points","POR Trail Blazers / Under 225.5","+350",NA,"UTA Jazz - POR Trail Blazers"
