"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 1-3","+425",NA,"ATL Hawks - PHI 76ers"
"2","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 4-6","+500",NA,"ATL Hawks - PHI 76ers"
"3","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 7-9","+750",NA,"ATL Hawks - PHI 76ers"
"4","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 10-12","+1300",NA,"ATL Hawks - PHI 76ers"
"5","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 13-15","+2000",NA,"ATL Hawks - PHI 76ers"
"6","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 16+","+2800",NA,"ATL Hawks - PHI 76ers"
"7","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","Tie","+1200",NA,"ATL Hawks - PHI 76ers"
"8","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 1-3","+400",NA,"ATL Hawks - PHI 76ers"
"9","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 4-6","+500",NA,"ATL Hawks - PHI 76ers"
"10","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 7-9","+750",NA,"ATL Hawks - PHI 76ers"
"11","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 10-12","+1200",NA,"ATL Hawks - PHI 76ers"
"12","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 13-15","+2000",NA,"ATL Hawks - PHI 76ers"
"13","ATL Hawks","PHI 76ers","Winning Margin - 4th Quarter","To Win By 16+","+2800",NA,"ATL Hawks - PHI 76ers"
"14","ATL Hawks","PHI 76ers","Joel Embiid Turnovers","Over","+120","3.5","ATL Hawks - PHI 76ers"
"15","ATL Hawks","PHI 76ers","Joel Embiid Turnovers","Under","-160","3.5","ATL Hawks - PHI 76ers"
"16","ATL Hawks","PHI 76ers","Clint Capela v Joel Embiid - Rebounds Moneyline","Joel Embiid","-140",NA,"ATL Hawks - PHI 76ers"
"17","ATL Hawks","PHI 76ers","Clint Capela v Joel Embiid - Rebounds Moneyline","Clint Capela","+105",NA,"ATL Hawks - PHI 76ers"
"18","ATL Hawks","PHI 76ers","Dejounte Murray v Joel Embiid - Field Goals Made Moneyline","Joel Embiid","-310",NA,"ATL Hawks - PHI 76ers"
"19","ATL Hawks","PHI 76ers","Dejounte Murray v Joel Embiid - Field Goals Made Moneyline","Dejounte Murray","+220",NA,"ATL Hawks - PHI 76ers"
"20","ATL Hawks","PHI 76ers","Race to 5 Points - 1st Quarter","PHI 76ers","-115",NA,"ATL Hawks - PHI 76ers"
"21","ATL Hawks","PHI 76ers","Race to 5 Points - 1st Quarter","ATL Hawks","-110",NA,"ATL Hawks - PHI 76ers"
"22","ATL Hawks","PHI 76ers","Trae Young Rebounds","Over","-125","3.5","ATL Hawks - PHI 76ers"
"23","ATL Hawks","PHI 76ers","Trae Young Rebounds","Under","-110","3.5","ATL Hawks - PHI 76ers"
"24","ATL Hawks","PHI 76ers","John Collins v Tobias Harris - Field Goals Made Moneyline","Tobias Harris","-270",NA,"ATL Hawks - PHI 76ers"
"25","ATL Hawks","PHI 76ers","John Collins v Tobias Harris - Field Goals Made Moneyline","John Collins","+195",NA,"ATL Hawks - PHI 76ers"
"26","ATL Hawks","PHI 76ers","20+ Points","Joel Embiid","-1600",NA,"ATL Hawks - PHI 76ers"
"27","ATL Hawks","PHI 76ers","20+ Points","Trae Young","-475",NA,"ATL Hawks - PHI 76ers"
"28","ATL Hawks","PHI 76ers","20+ Points","Tyrese Maxey","-320",NA,"ATL Hawks - PHI 76ers"
"29","ATL Hawks","PHI 76ers","20+ Points","Dejounte Murray","-160",NA,"ATL Hawks - PHI 76ers"
"30","ATL Hawks","PHI 76ers","20+ Points","Tobias Harris","+170",NA,"ATL Hawks - PHI 76ers"
"31","ATL Hawks","PHI 76ers","20+ Points","De'Andre Hunter","+250",NA,"ATL Hawks - PHI 76ers"
"32","ATL Hawks","PHI 76ers","2nd Quarter Spread / 2nd Quarter Total Points","PHI 76ers +0.5 / Over 56.5","+230",NA,"ATL Hawks - PHI 76ers"
"33","ATL Hawks","PHI 76ers","2nd Quarter Spread / 2nd Quarter Total Points","ATL Hawks -0.5 / Over 56.5","+260",NA,"ATL Hawks - PHI 76ers"
"34","ATL Hawks","PHI 76ers","2nd Quarter Spread / 2nd Quarter Total Points","PHI 76ers +0.5 / Under 56.5","+260",NA,"ATL Hawks - PHI 76ers"
"35","ATL Hawks","PHI 76ers","2nd Quarter Spread / 2nd Quarter Total Points","ATL Hawks -0.5 / Under 56.5","+290",NA,"ATL Hawks - PHI 76ers"
"36","ATL Hawks","PHI 76ers","4th Quarter Spread / 4th Quarter Total Points","PHI 76ers +0.5 / Over 53.5","+245",NA,"ATL Hawks - PHI 76ers"
"37","ATL Hawks","PHI 76ers","4th Quarter Spread / 4th Quarter Total Points","PHI 76ers +0.5 / Under 53.5","+255",NA,"ATL Hawks - PHI 76ers"
"38","ATL Hawks","PHI 76ers","4th Quarter Spread / 4th Quarter Total Points","ATL Hawks -0.5 / Over 53.5","+275",NA,"ATL Hawks - PHI 76ers"
"39","ATL Hawks","PHI 76ers","4th Quarter Spread / 4th Quarter Total Points","ATL Hawks -0.5 / Under 53.5","+280",NA,"ATL Hawks - PHI 76ers"
"40","ATL Hawks","PHI 76ers","De'Anthony Melton Points + Assists + Rebounds","Over","-105","22.5","ATL Hawks - PHI 76ers"
"41","ATL Hawks","PHI 76ers","De'Anthony Melton Points + Assists + Rebounds","Under","-125","22.5","ATL Hawks - PHI 76ers"
