"","Home","Away","Bet","Outcome","Line","Matchup"
"1","PHO Suns","DAL Mavericks","Race to 5 Points - 2nd Quarter","DAL Mavericks","-105","PHO Suns - DAL Mavericks"
"2","PHO Suns","DAL Mavericks","Race to 5 Points - 2nd Quarter","PHO Suns","-120","PHO Suns - DAL Mavericks"
"3","PHO Suns","DAL Mavericks","Race to 25 Points - 3rd Quarter","DAL Mavericks","+150","PHO Suns - DAL Mavericks"
"4","PHO Suns","DAL Mavericks","Race to 25 Points - 3rd Quarter","Neither","+500","PHO Suns - DAL Mavericks"
"5","PHO Suns","DAL Mavericks","Race to 25 Points - 3rd Quarter","PHO Suns","-105","PHO Suns - DAL Mavericks"
"6","PHO Suns","DAL Mavericks","Race to 15 Points - 3rd Quarter","DAL Mavericks","+110","PHO Suns - DAL Mavericks"
"7","PHO Suns","DAL Mavericks","Race to 15 Points - 3rd Quarter","Neither","+9000","PHO Suns - DAL Mavericks"
"8","PHO Suns","DAL Mavericks","Race to 15 Points - 3rd Quarter","PHO Suns","-140","PHO Suns - DAL Mavericks"
"9","PHO Suns","DAL Mavericks","Race to 20 Points - 1st Quarter","DAL Mavericks","+120","PHO Suns - DAL Mavericks"
"10","PHO Suns","DAL Mavericks","Race to 20 Points - 1st Quarter","Neither","+4000","PHO Suns - DAL Mavericks"
"11","PHO Suns","DAL Mavericks","Race to 20 Points - 1st Quarter","PHO Suns","-145","PHO Suns - DAL Mavericks"
"12","PHO Suns","DAL Mavericks","Race to 5 Points - 4th Quarter","DAL Mavericks","+100","PHO Suns - DAL Mavericks"
"13","PHO Suns","DAL Mavericks","Race to 5 Points - 4th Quarter","PHO Suns","-120","PHO Suns - DAL Mavericks"
"14","PHO Suns","DAL Mavericks","Race to 25 Points - 1st Quarter","DAL Mavericks","+150","PHO Suns - DAL Mavericks"
"15","PHO Suns","DAL Mavericks","Race to 25 Points - 1st Quarter","Neither","+600","PHO Suns - DAL Mavericks"
"16","PHO Suns","DAL Mavericks","Race to 25 Points - 1st Quarter","PHO Suns","-115","PHO Suns - DAL Mavericks"
"17","PHO Suns","DAL Mavericks","Race to 15 Points - 4th Quarter","DAL Mavericks","+105","PHO Suns - DAL Mavericks"
"18","PHO Suns","DAL Mavericks","Race to 15 Points - 4th Quarter","Neither","+9000","PHO Suns - DAL Mavericks"
