"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","NY Knicks","LA Lakers","Moneyline","LA Lakers","+120",NA,"NY Knicks - LA Lakers"
"2","NY Knicks","LA Lakers","Moneyline","NY Knicks","-140",NA,"NY Knicks - LA Lakers"
"3","NY Knicks","LA Lakers","Spread","LA Lakers","-110","+2.5","NY Knicks - LA Lakers"
"4","NY Knicks","LA Lakers","Spread","NY Knicks","-110","-2.5","NY Knicks - LA Lakers"
"5","NY Knicks","LA Lakers","Total","Over","-110","231.5","NY Knicks - LA Lakers"
"6","NY Knicks","LA Lakers","Total","Under","-110","231.5","NY Knicks - LA Lakers"
"7","DEN Nuggets","NO Pelicans","Total","Over","-110","233","DEN Nuggets - NO Pelicans"
"8","DEN Nuggets","NO Pelicans","Total","Under","-110","233","DEN Nuggets - NO Pelicans"
"9","DEN Nuggets","NO Pelicans","Moneyline","NO Pelicans","+245",NA,"DEN Nuggets - NO Pelicans"
"10","DEN Nuggets","NO Pelicans","Moneyline","DEN Nuggets","-295",NA,"DEN Nuggets - NO Pelicans"
"11","DEN Nuggets","NO Pelicans","Spread","NO Pelicans","-110","+7.5","DEN Nuggets - NO Pelicans"
"12","DEN Nuggets","NO Pelicans","Spread","DEN Nuggets","-110","-7.5","DEN Nuggets - NO Pelicans"
"13","MIL Bucks","CHA Hornets","Moneyline","CHA Hornets","+450",NA,"MIL Bucks - CHA Hornets"
"14","MIL Bucks","CHA Hornets","Moneyline","MIL Bucks","-600",NA,"MIL Bucks - CHA Hornets"
"15","MIL Bucks","CHA Hornets","Spread","CHA Hornets","-105","+10.5","MIL Bucks - CHA Hornets"
"16","MIL Bucks","CHA Hornets","Spread","MIL Bucks","-115","-10.5","MIL Bucks - CHA Hornets"
"17","MIL Bucks","CHA Hornets","Total","Over","-110","243","MIL Bucks - CHA Hornets"
"18","MIL Bucks","CHA Hornets","Total","Under","-110","243","MIL Bucks - CHA Hornets"
"19","CHI Bulls","LA Clippers","Moneyline","LA Clippers","-140",NA,"CHI Bulls - LA Clippers"
"20","CHI Bulls","LA Clippers","Moneyline","CHI Bulls","+120",NA,"CHI Bulls - LA Clippers"
"21","CHI Bulls","LA Clippers","Total","Over","-110","226.5","CHI Bulls - LA Clippers"
"22","CHI Bulls","LA Clippers","Total","Under","-110","226.5","CHI Bulls - LA Clippers"
"23","CHI Bulls","LA Clippers","Spread","LA Clippers","-110","-2.5","CHI Bulls - LA Clippers"
"24","CHI Bulls","LA Clippers","Spread","CHI Bulls","-110","+2.5","CHI Bulls - LA Clippers"
"25","CLE Cavaliers","MIA Heat","Total","Over","-110","211.5","CLE Cavaliers - MIA Heat"
"26","CLE Cavaliers","MIA Heat","Total","Under","-110","211.5","CLE Cavaliers - MIA Heat"
"27","CLE Cavaliers","MIA Heat","Spread","MIA Heat","-110","+5.5","CLE Cavaliers - MIA Heat"
"28","CLE Cavaliers","MIA Heat","Spread","CLE Cavaliers","-110","-5.5","CLE Cavaliers - MIA Heat"
"29","CLE Cavaliers","MIA Heat","Moneyline","MIA Heat","+180",NA,"CLE Cavaliers - MIA Heat"
"30","CLE Cavaliers","MIA Heat","Moneyline","CLE Cavaliers","-210",NA,"CLE Cavaliers - MIA Heat"
