"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","CHI Bulls","DAL Mavericks","2nd Quarter / Moneyline","DAL Mavericks/DAL Mavericks","+225",NA,"CHI Bulls - DAL Mavericks"
"2","CHI Bulls","DAL Mavericks","2nd Quarter / Moneyline","DAL Mavericks/CHI Bulls","+425",NA,"CHI Bulls - DAL Mavericks"
"3","CHI Bulls","DAL Mavericks","2nd Quarter / Moneyline","Tie/CHI Bulls","+2500",NA,"CHI Bulls - DAL Mavericks"
"4","CHI Bulls","DAL Mavericks","2nd Quarter / Moneyline","Tie/DAL Mavericks","+2800",NA,"CHI Bulls - DAL Mavericks"
"5","CHI Bulls","DAL Mavericks","2nd Quarter / Moneyline","CHI Bulls/CHI Bulls","+190",NA,"CHI Bulls - DAL Mavericks"
"6","CHI Bulls","DAL Mavericks","2nd Quarter / Moneyline","CHI Bulls/DAL Mavericks","+450",NA,"CHI Bulls - DAL Mavericks"
"7","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+360","-9.5","CHI Bulls - DAL Mavericks"
"8","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-575","+9.5","CHI Bulls - DAL Mavericks"
"9","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+350","-9","CHI Bulls - DAL Mavericks"
"10","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-550","+9","CHI Bulls - DAL Mavericks"
"11","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+320","-8.5","CHI Bulls - DAL Mavericks"
"12","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-500","+8.5","CHI Bulls - DAL Mavericks"
"13","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+310","-8","CHI Bulls - DAL Mavericks"
"14","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-475","+8","CHI Bulls - DAL Mavericks"
"15","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+280","-7.5","CHI Bulls - DAL Mavericks"
"16","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-425","+7.5","CHI Bulls - DAL Mavericks"
"17","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+270","-7","CHI Bulls - DAL Mavericks"
"18","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-390","+7","CHI Bulls - DAL Mavericks"
"19","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+240","-6.5","CHI Bulls - DAL Mavericks"
"20","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-340","+6.5","CHI Bulls - DAL Mavericks"
"21","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+230","-6","CHI Bulls - DAL Mavericks"
"22","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-330","+6","CHI Bulls - DAL Mavericks"
"23","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+205","-5.5","CHI Bulls - DAL Mavericks"
"24","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-285","+5.5","CHI Bulls - DAL Mavericks"
"25","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+195","-5","CHI Bulls - DAL Mavericks"
"26","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-270","+5","CHI Bulls - DAL Mavericks"
"27","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+175","-4.5","CHI Bulls - DAL Mavericks"
"28","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-240","+4.5","CHI Bulls - DAL Mavericks"
"29","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+165","-4","CHI Bulls - DAL Mavericks"
"30","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-225","+4","CHI Bulls - DAL Mavericks"
"31","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+145","-3.5","CHI Bulls - DAL Mavericks"
"32","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-200","+3.5","CHI Bulls - DAL Mavericks"
"33","CHI Bulls","DAL Mavericks","Spread Alternate","DAL Mavericks","+140","-3","CHI Bulls - DAL Mavericks"
"34","CHI Bulls","DAL Mavericks","Spread Alternate","CHI Bulls","-185","+3","CHI Bulls - DAL Mavericks"
